gene	MM	p.MM	GS.Allergy	p.GS.Allergy	colors	kTotal	kWithin	kOut	kDiff	Rank	GeneNumber	Rank_ratio
ABCF2	-0.742233990836766	2.22604011222844e-18	0.294476433308703	0.00324709337033096	blue	1.15323499892556	0.389130801402626	0.764104197522933	-0.374973396120307	129	167	77.2
APEH	-0.742710830778726	2.06238539984277e-18	0.257730888546521	0.0104038626831029	blue	1.48065881930711	0.47627240884094	1.00438641046617	-0.528114001625226	108	167	64.7
ARHGAP30	-0.731893986485534	1.11995557782929e-17	0.315816763241807	0.00153596386300565	blue	0.831303117737863	0.389782172919476	0.441520944818387	-0.0517387718989105	128	167	76.6
BACH1	0.729832047029993	1.53199340891825e-17	-0.218121270589523	0.0309560898434584	blue	0.576823401891477	0.342789130826998	0.234034271064479	0.108754859762519	139	167	83.2
BANF1	-0.831706823296098	2.85777764167499e-26	0.343248454141381	0.00053989580821814	blue	2.64893272959283	1.15899471244834	1.48993801714449	-0.33094330469615	24	167	14.4
BCAS2	0.860699275351495	6.72208299087129e-30	-0.265065688045065	0.0083468504375372	blue	3.51655254785584	2.27367852114025	1.24287402671559	1.03080449442466	5	167	3
C19orf25	-0.765387563762431	4.4451322501234e-20	0.356414955394739	0.000315645944322429	blue	1.3741123501941	0.49598264699633	0.878129703197766	-0.382147056201436	102	167	61.1
C1orf52	0.755827736511736	2.3579802335067e-19	-0.258816230801897	0.0100739428076875	blue	0.830241572600106	0.444164994313326	0.386076578286781	0.0580884160265449	115	167	68.9
C3orf38	0.722996663016045	4.24142789426614e-17	-0.225661037505766	0.025471927010127	blue	0.835955396796094	0.420413626886751	0.415541769909343	0.00487185697740811	122	167	73.1
CALHM2	-0.792282708724226	2.57278021864313e-22	0.461737898672159	1.70470763580862e-06	blue	1.4033171712217	0.699521066280848	0.703796104940849	-0.00427503866000101	64	167	38.3
CCNH	0.774978251661409	7.682908186511e-21	-0.371153177747954	0.00016828780169683	blue	1.99278738883648	0.714986473706739	1.27780091512974	-0.562814441423004	63	167	37.7
CCNL1	0.764392618413599	5.30757493189951e-20	-0.316082495081737	0.00152118044235136	blue	2.13141691279327	0.992054686022681	1.13936222677058	-0.147307540747904	37	167	22.2
CCNT1	0.787667917877217	6.5641347708569e-22	-0.306623135628729	0.00213489724883955	blue	1.97478631268619	0.878866007625968	1.09592030506022	-0.217054297434251	44	167	26.3
CD55	0.761253344607599	9.23470353683807e-20	-0.314033936096432	0.00163856248915225	blue	1.8338505479922	0.578311804012745	1.25553874397945	-0.677226939966708	84	167	50.3
CDC37L1	0.778343442634241	4.06520752404292e-21	-0.293288811896455	0.00337980732718295	blue	1.56595489058913	0.5884464179276	0.977508472661535	-0.389062054733934	81	167	48.5
CDK17	0.727308962932955	2.23900562601305e-17	-0.225979558481397	0.025259745685225	blue	0.775835473542032	0.320174744935247	0.455660728606784	-0.135485983671537	141	167	84.4
CDK4	-0.779927143946153	3.00128997916464e-21	0.2883985669684	0.00397896770468933	blue	2.20916932502012	0.785706514897913	1.42346281012221	-0.637756295224294	52	167	31.1
CEBPZ	0.815782467595503	1.4684132973021e-24	-0.386225785323992	8.56776585495363e-05	blue	1.88271577076541	0.97903381013795	0.903681960627458	0.0753518495104923	38	167	22.8
CHD1	0.903997016157971	3.35867883337578e-37	-0.342677052599282	0.000552330334156159	blue	7.68256450471986	3.45191390028939	4.23065060443046	-0.778736704141068	1	167	0.6
CLK1	0.817886339140816	8.92190832124318e-25	-0.234586518479986	0.020070036734078	blue	2.61624759506948	1.40053707989363	1.21571051517586	0.184826564717769	17	167	10.2
COPS6	-0.76214443315893	7.89815270710241e-20	0.289792797613261	0.00379915002885548	blue	1.25607767137351	0.527397132402689	0.72868053897082	-0.201283406568131	95	167	56.9
COQ10B	0.833300184477582	1.88382349321642e-26	-0.229139092952213	0.0232353368736128	blue	2.38926771600656	1.62651251510695	0.76275520089961	0.863757314207335	16	167	9.6
CUL3	0.748048524395873	8.67162336500044e-19	-0.208955204630039	0.038935970674411	blue	1.31779043877976	0.501046858411733	0.81674358036803	-0.315696721956297	100	167	59.9
DBF4	0.88656217896024	6.62762186973162e-34	-0.232809342508984	0.0210593068798393	blue	4.30666134485174	2.6618356268047	1.64482571804703	1.01700990875767	2	167	1.2
DCTN4	0.775573814789406	6.8698925912861e-21	-0.223024957953867	0.0272869159153298	blue	1.32915221856714	0.732922252015446	0.596229966551694	0.136692285463752	61	167	36.5
DDX20	0.779885905386605	3.02519308455797e-21	-0.262622430884721	0.00898828712955648	blue	1.19910039294484	0.560961202532256	0.638139190412581	-0.0771779878803249	89	167	53.3
DDX21	0.773824752380517	9.53207479302796e-21	-0.271912088145572	0.00675906480494247	blue	1.83442860490878	0.821504915127644	1.01292368978113	-0.191418774653486	48	167	28.7
DENND2D	-0.784786774147118	1.16427049612373e-21	0.25620139359457	0.0108848447135437	blue	2.48597509133815	0.902839071770316	1.58313601956783	-0.680296947797517	41	167	24.6
DFFA	-0.747822585122228	8.99949105515506e-19	0.318988362984039	0.00136773188728895	blue	1.15811367410916	0.438009931192516	0.720103742916648	-0.282093811724132	118	167	70.7
DNAJB9	0.795916929417304	1.20990834600476e-22	-0.244590365126508	0.0152140794037134	blue	2.00325051177586	1.22126386804868	0.78198664372718	0.439277224321503	22	167	13.2
DNTTIP2	0.746696290244647	1.08220445624479e-18	-0.239217318747831	0.0176777795964033	blue	3.08810888810881	0.85560496922574	2.23250391888307	-1.37689894965733	46	167	27.5
EIF1	0.851101497987746	1.29840003245363e-28	-0.323607366501259	0.00115253370333193	blue	3.43011211433479	1.84026918151312	1.58984293282166	0.250426248691458	8	167	4.8
EIF3A	0.725994025810631	2.72405962630792e-17	-0.265540465872115	0.00822699202692586	blue	1.51049219051409	0.433240997128286	1.0772511933858	-0.644010196257518	120	167	71.9
ELF1	0.766713345520828	3.50488015031239e-20	-0.336000132146546	0.000718410853240096	blue	1.59121885231782	0.690588581831034	0.900630270486789	-0.210041688655756	67	167	40.1
FEM1C	0.80449796770066	1.91484346192591e-23	-0.306602388415445	0.00213645922093992	blue	1.80982594547487	0.894156581724077	0.915669363750794	-0.0215127820267176	43	167	25.7
GNA13	0.748336115046125	8.2710417422869e-19	-0.280158906904013	0.00520554475025945	blue	1.65482434442312	0.62959747694885	1.02522686747427	-0.395629390525417	77	167	46.1
GPCPD1	0.744529642336508	1.53887358705379e-18	-0.426321944700689	1.20327168714709e-05	blue	1.57246527249761	0.487159492388615	1.085305780109	-0.598146287720384	103	167	61.7
GTF2B	0.816617928776236	1.20573038330955e-24	-0.268787988718503	0.00744702945263906	blue	2.16259129672618	1.30059328700013	0.861998009726053	0.438595277274079	18	167	10.8
HAUS3	0.759978939653735	1.15349346141729e-19	-0.26207424763005	0.00913801716817818	blue	1.59911869204846	0.824168340006799	0.774950352041663	0.049217987965136	47	167	28.1
HIF1A	0.739000193126186	3.71989241042171e-18	-0.556822574460129	2.6169448123295e-09	blue	1.12912901666695	0.464041334958737	0.665087681708212	-0.201046346749475	110	167	65.9
ICAM2	-0.809114541621211	6.8363369319964e-24	0.265933579513914	0.00812889972976789	blue	2.44145084704375	1.02221169035932	1.41923915668443	-0.39702746632511	31	167	18.6
IKZF5	0.762473484437951	7.4538054556375e-20	-0.318107584849505	0.00141268838925086	blue	1.44747437376248	0.591459730036469	0.856014643726009	-0.26455491368954	80	167	47.9
ING3	0.848485026411247	2.80771661816435e-28	-0.27604329324899	0.00593591577260794	blue	3.07396091797832	1.70070561589794	1.37325530208039	0.327450313817547	12	167	7.2
ING4	-0.750903347068096	5.40714989883581e-19	0.208115465555174	0.0397461190970142	blue	0.955053362851364	0.417813318784433	0.53724004406693	-0.119426725282497	123	167	73.7
JMJD1C	0.771206506663587	1.54792758049999e-20	-0.291302313673614	0.00361268932139076	blue	1.61570065269491	0.774979754414535	0.840720898280372	-0.0657411438658377	55	167	32.9
JMY	0.771738985854191	1.40331247517028e-20	-0.308858992437574	0.00197248630229434	blue	2.1700119612093	0.743525846611305	1.426486114598	-0.682960267986693	60	167	35.9
KBTBD2	0.874982331200753	5.30663485471268e-32	-0.408840176444908	2.92064613282008e-05	blue	4.5276907537498	2.32217581296463	2.20551494078518	0.116660872179454	4	167	2.4
KBTBD8	0.750131915461923	6.1471183380461e-19	-0.318533814164327	0.00139076808288401	blue	0.684257455724557	0.394032602085485	0.290224853639072	0.103807748446413	126	167	75.4
LAPTM4A	0.757292166019693	1.83529559237379e-19	-0.416560217605188	1.98629505368758e-05	blue	1.00842818419934	0.567055469943873	0.441372714255468	0.125682755688405	87	167	52.1
LEPROTL1	0.750941748158596	5.37267107603073e-19	-0.344799635851	0.000507422752636959	blue	1.43606444918012	0.522251845138972	0.913812604041149	-0.391560758902176	96	167	57.5
LSM10	-0.74952330200623	6.79947209786243e-19	0.331657621268797	0.000849722768273271	blue	0.902559890632998	0.36816239881786	0.534397491815138	-0.166235092997278	135	167	80.8
MED11	-0.799672398277006	5.45935065263088e-23	0.234574032284876	0.020076845479186	blue	1.48771624376196	0.753995382482812	0.733720861279149	0.0202745212036626	58	167	34.7
MORF4L1	0.847141193446176	4.14894508919179e-28	-0.214684757118781	0.0337688871742829	blue	3.66913737410084	1.68858920656452	1.98054816753632	-0.2919589609718	13	167	7.8
MSL2	0.828510123053574	6.5087106795388e-26	-0.406579174361089	3.26394313984545e-05	blue	2.16537814774137	1.14906332298671	1.01631482475466	0.132748498232052	25	167	15
NOP58	0.862344632155429	3.95759655717392e-30	-0.39619726963941	5.38196578257776e-05	blue	3.55684836701873	1.8923677141209	1.66448065289783	0.227887061223066	7	167	4.2
NUDT22	-0.77113527093989	1.56834106581783e-20	0.300900504034679	0.00260694859282221	blue	1.2780208587226	0.479191996751495	0.798828861971109	-0.319636865219614	107	167	64.1
ORMDL2	-0.75455252545469	2.92880303912162e-19	0.31408611385159	0.00163547367296322	blue	1.22299081429119	0.497124305756517	0.725866508534669	-0.228742202778152	101	167	60.5
PDLIM2	-0.74836049005699	8.23792883099085e-19	0.347235673338166	0.000460025912234057	blue	1.05787870006255	0.420537853924456	0.637340846138092	-0.216802992213636	121	167	72.5
PELI1	0.809388614973723	6.42519504453056e-24	-0.253069366054609	0.0119308227799089	blue	2.38724234800363	1.00410052733239	1.38314182067124	-0.379041293338845	35	167	21
PIGA	0.769145728727988	2.25698884990583e-20	-0.303368147759853	0.00239294577964703	blue	1.04248627332822	0.583023674457095	0.459462598871125	0.12356107558597	82	167	49.1
PNPLA8	0.768180204872106	2.68956250563169e-20	-0.2934779056097	0.00335835643151827	blue	1.13970855645881	0.633995679569746	0.505712876889061	0.128282802680684	76	167	45.5
PPP2CA	0.808822983025778	7.3018260426635e-24	-0.245643172227367	0.0147678822945054	blue	1.73731444843826	1.08720533318276	0.650109115255495	0.437096217927268	26	167	15.6
PSMD12	0.792449321087475	2.48613330538648e-22	-0.250090876333522	0.0130058302685878	blue	1.7025409524704	0.764603249560847	0.937937702909556	-0.173334453348708	56	167	33.5
PSMD4	-0.74003507711449	3.15882465156188e-18	0.223408490151108	0.0270162076145617	blue	1.07907984440221	0.392392525823489	0.686687318578717	-0.294294792755228	127	167	76
PTPN6	-0.787890161019859	6.27797690011068e-22	0.28183445333065	0.00493186340847051	blue	1.85461726281684	0.785172964330343	1.0694442984865	-0.284271334156153	53	167	31.7
PTS	0.771295715134945	1.5227279382442e-20	-0.392164467391888	6.50706773014446e-05	blue	2.0929342382036	0.673532893070149	1.41940134513346	-0.745868452063307	70	167	41.9
RAB1A	0.766158261678965	3.87229986262493e-20	-0.224789702492665	0.026060133362509	blue	1.22573200659248	0.732538633774988	0.493193372817497	0.239345260957491	62	167	37.1
RAC2	-0.796247676016148	1.12876841798422e-22	0.269105833743559	0.00737431802966524	blue	2.38439740761202	1.07699466461713	1.30740274299489	-0.230408078377765	27	167	16.2
RANBP2	0.769501878130706	2.1151739869089e-20	-0.314493084613919	0.00161156223222406	blue	2.32537421657294	0.900832423217734	1.42454179335521	-0.523709370137473	42	167	25.1
RAP2C	0.743673352597437	1.7668752601412e-18	-0.234028910283467	0.0203760420026719	blue	1.23679969051447	0.53943126839946	0.697368422115009	-0.157937153715549	93	167	55.7
RCHY1	0.747633309185418	9.28339786193984e-19	-0.270238278010523	0.00712032504801787	blue	0.893070265626813	0.386964965255456	0.506105300371357	-0.119140335115901	131	167	78.4
RGS2	0.804855907413809	1.76961586416644e-23	-0.464118376602547	1.48293504081109e-06	blue	2.13170198724414	1.0451269847504	1.08657500249374	-0.0414480177433383	29	167	17.4
RIOK3	0.851435143619295	1.17553735979267e-28	-0.243241701045777	0.01580270047191	blue	3.19353195429737	1.65957413129754	1.53395782299982	0.125616308297718	15	167	9
RNF139	0.828340976055665	6.79522430535793e-26	-0.43777931217508	6.54833399749311e-06	blue	2.56432629282576	1.22691431868358	1.33741197414217	-0.110497655458587	20	167	12
RNF167	-0.763090431308004	6.68526652492464e-20	0.354813942956442	0.000337355658470422	blue	1.12565940826215	0.506511177654713	0.619148230607438	-0.112637052952725	98	167	58.7
RNMT	0.877121562655665	2.44209524891513e-32	-0.238323966041103	0.0181191229792676	blue	3.98144221610706	2.11329411558783	1.86814810051924	0.245146015068593	6	167	3.6
RSL24D1	0.734929507139989	7.02434773902547e-18	-0.255959313172934	0.0109627285215667	blue	1.33699714718847	0.619318566325741	0.71767858086273	-0.0983600145369885	78	167	46.7
RSRC2	0.854657961167218	4.44328482933932e-29	-0.249359363649225	0.0132824047524106	blue	3.68275495565908	1.74615312641406	1.93660182924502	-0.19044870283096	10	167	6
S100A11	-0.740790546525779	2.80207050729434e-18	0.277920530980318	0.00559219893232097	blue	1.39004677985799	0.539756899921758	0.850289879936234	-0.310532980014476	92	167	55.1
SASH3	-0.772141201226062	1.3028740269325e-20	0.216788101320209	0.0320228565960332	blue	1.44695440645533	0.634245948454808	0.812708458000523	-0.178462509545715	75	167	44.9
