GeneID	kTotal	kWithin	kOut	kDiff	colors	Rank	GeneNumber	Rank_ratio
A1BG	0.00460390413665486	0.00426229068965089	0.000341613447003973	0.00392067724264692	grey	6841	12882	53.1
A1BG-AS1	0.00227059012721513	0.00181552557311502	0.000455064554100111	0.00136046101901491	grey	8361	12882	64.9
A1CF	0.00274267744565365	0.00274067580972969	2.00163592396557e-06	0.00273867417380572	grey	7607	12882	59.1
A2M	0.173580738265017	0.173532413309003	4.83249560135901e-05	0.173484088352989	grey	1127	12882	8.7
A2ML1	0.00185758733267253	0.00161352450888793	0.000244062823784595	0.00136946168510334	grey	8578	12882	66.6
A2MP1	0.0507366988538097	0.0498073719514208	0.000929326902388922	0.0488780450490319	grey	2807	12882	21.8
AAAS	0.252671520727467	0.136728269490975	0.115943251236492	0.020785018254483	grey	1384	12882	10.7
AACS	0.000384695851072342	0.000373505595707089	1.11902553652525e-05	0.000362315340341837	grey	11259	12882	87.4
AAGAB	0.184199970986707	0.106875368103607	0.0773246028831003	0.0295507652205067	grey	1714	12882	13.3
AAK1	0.0511421745050156	0.0298266444542553	0.0213155300507603	0.00851111440349504	grey	3582	12882	27.8
AAMP	0.447316578540992	0.28302388439406	0.164292694146933	0.118731190247127	grey	694	12882	5.4
AANAT	0.000254044173672101	0.00025392361188099	1.20561791110856e-07	0.000253803050089879	grey	11870	12882	92.1
AARS2	0.00552042473262171	0.00501266068615021	0.000507764046471505	0.0045048966396787	grey	6561	12882	50.9
AARSD1	0.00547293076109385	0.00528135872940063	0.000191572031693222	0.00508978669770741	grey	6474	12882	50.3
AASDH	0.019253626146855	0.017109315624783	0.00214431052207193	0.0149650051027111	grey	4482	12882	34.8
AASDHPPT	0.143288511187787	0.130275913837156	0.0130125973506313	0.117263316486524	grey	1446	12882	11.2
AASS	0.000280967420130133	0.000277047878879866	3.91954125026635e-06	0.0002731283376296	grey	11735	12882	91.1
AATK	0.000473750813669731	0.000472833877656251	9.16936013480485e-07	0.00047191694164277	grey	10810	12882	83.9
ABAT	0.00112503291284928	0.00111497074455983	1.00621682894498e-05	0.00110490857627038	grey	9191	12882	71.3
ABCA1	0.0185334384019103	0.0122221793059361	0.00631125909597417	0.00591092020996193	grey	5083	12882	39.5
ABCA10	0.00131653020359865	0.00109776894257997	0.000218761261018686	0.000879007681561281	grey	9225	12882	71.6
ABCA11P	0.000192907196007618	0.000191222536423502	1.68465958411555e-06	0.000189537876839387	grey	12245	12882	95.1
ABCA12	0.071822853166853	0.0718204570740232	2.39609282981501e-06	0.0718180609811934	grey	2265	12882	17.6
ABCA13	0.288933281156299	0.288920331512648	1.29496436514498e-05	0.288907381868996	grey	677	12882	5.3
ABCA17P	0.00112340213118709	0.00111719515899066	6.20697219643395e-06	0.00111098818679422	grey	9188	12882	71.3
ABCA2	0.0311149343747677	0.0306394826904546	0.000475451684313191	0.0301640310061414	grey	3534	12882	27.4
ABCA3	0.000228408118103333	0.000228177070242592	2.31047860740766e-07	0.000227946022381851	grey	12016	12882	93.3
ABCA5	0.133435779146193	0.045510152890971	0.0879256262552222	-0.0424154733642513	grey	2934	12882	22.8
ABCA6	0.004227387411649	0.00384337721123679	0.000384010200412202	0.00345936701082459	grey	7013	12882	54.4
ABCA7	0.00642649563666629	0.00632338209243365	0.000103113544232642	0.006220268548201	grey	6195	12882	48.1
ABCA9	0.00053096438272658	0.000526042082359278	4.92230036730241e-06	0.000521119781991976	grey	10632	12882	82.5
ABCB1	0.00206283032918736	0.00203961143929402	2.3218889893348e-05	0.00201639254940067	grey	8123	12882	63.1
ABCB10	0.0160059821612036	0.013369867392168	0.00263611476903564	0.0107337526231323	grey	4921	12882	38.2
ABCB4	0.00870127266777119	0.00869834685726501	2.92581050618385e-06	0.00869542104675883	grey	5643	12882	43.8
ABCB5	0.039384211064579	0.0393825174067888	1.69365779013886e-06	0.0393808237489987	grey	3158	12882	24.5
ABCB6	0.00378471055202047	0.0033125775511087	0.000472133000911768	0.00284044455019693	grey	7265	12882	56.4
ABCB7	0.00342647176744398	0.00333586943025707	9.06023371869116e-05	0.00324526709307016	grey	7248	12882	56.3
ABCB8	0.0732120334018576	0.0460855579711859	0.0271264754306717	0.0189590825405141	grey	2913	12882	22.6
ABCB9	0.000103773534913065	0.000103702993505377	7.05414076878377e-08	0.000103632452097689	grey	12710	12882	98.7
ABCC1	0.220954825993891	0.151729107114354	0.0692257188795369	0.0825033882348173	grey	1267	12882	9.8
ABCC10	0.0449259119941907	0.0360104057947719	0.00891550619941879	0.0270948995953532	grey	3275	12882	25.4
ABCC11	0.0384592224453654	0.0384591016889457	1.20756419717816e-07	0.0384589809325259	grey	3196	12882	24.8
ABCC13	0.00166542259455325	0.00165854661016821	6.87598438504065e-06	0.00165167062578317	grey	8521	12882	66.1
ABCC2	0.000376786710354141	0.00034471192740612	3.20747829480211e-05	0.000312637144458099	grey	11399	12882	88.5
ABCC3	0.00171936175790523	0.00171390825972713	5.45349817809566e-06	0.00170845476154904	grey	8468	12882	65.7
ABCC4	0.0024472931333536	0.00232147105787284	0.000125822075480756	0.00219564898239209	grey	7908	12882	61.4
ABCC5	0.0296654626484045	0.0236765428502556	0.00598891979814888	0.0176876230521067	grey	3970	12882	30.8
ABCC9	0.0050707858124414	0.00463759696226887	0.000433188850172535	0.00420440811209633	grey	6692	12882	51.9
ABCD1	0.000422241674648711	0.000410848983597276	1.13926910514356e-05	0.00039945629254584	grey	11082	12882	86
ABCD2	0.50168013400042	0.412645438329478	0.0890346956709427	0.323610742658535	grey	452	12882	3.5
ABCD3	0.165579259292026	0.148517142821148	0.0170621164708775	0.131455026350271	grey	1288	12882	10
ABCD4	0.0100566918253508	0.00865148304161754	0.00140520878373328	0.00724627425788426	grey	5648	12882	43.8
ABCE1	0.450747883060468	0.343637302269212	0.107110580791257	0.236526721477955	grey	564	12882	4.4
ABCF3	0.0931657547575622	0.0842648717928908	0.00890088296467147	0.0753639888282193	grey	2023	12882	15.7
ABCG1	0.0502670827327897	0.0267590694926552	0.0235080132401345	0.00325105625252065	grey	3760	12882	29.2
ABCG2	0.000204765307772221	0.000198968450052266	5.79685771995466e-06	0.000193171592332312	grey	12195	12882	94.7
ABCG8	0.000480129056762692	0.000479728618687503	4.00438075188656e-07	0.000479328180612314	grey	10792	12882	83.8
ABHD1	0.000100987774635911	9.49157522606307e-05	6.07202237527995e-06	8.88437298853507e-05	grey	12756	12882	99
ABHD10	0.00839016723888883	0.0075993822093266	0.000790785029562227	0.00680859717976437	grey	5874	12882	45.6
ABHD11	0.00222312403665273	0.0017588664916406	0.000464257545012131	0.00129460894662847	grey	8420	12882	65.4
ABHD11-AS1	0.000369382450164445	0.000360685673240593	8.69677692385217e-06	0.000351988896316741	grey	11320	12882	87.9
ABHD12	0.00912586506064812	0.00716205807715136	0.00196380698349676	0.0051982510936546	grey	5979	12882	46.4
ABHD13	0.242141323163153	0.165112384060879	0.0770289391022748	0.0880834449586038	grey	1180	12882	9.2
ABHD14A	0.0456423147187299	0.022802179176138	0.0228401355425919	-3.79563664539076e-05	grey	4034	12882	31.3
ABHD14B	0.0591479865514913	0.047685482969078	0.0114625035824133	0.0362229793866647	grey	2858	12882	22.2
ABHD15	0.000144950346588499	0.000142998933690182	1.95141289831689e-06	0.000141047520791865	grey	12511	12882	97.1
ABHD2	0.00114618747150082	0.00109888334784859	4.73041236522321e-05	0.00105157922419636	grey	9224	12882	71.6
ABHD3	0.204426033865518	0.15690879257562	0.0475172412898981	0.109391551285722	grey	1229	12882	9.5
ABHD4	0.0673056997648838	0.0369679055581484	0.0303377942067354	0.00663011135141302	grey	3245	12882	25.2
ABHD5	0.00539725646418992	0.00286081601485394	0.00253644044933598	0.000324375565517962	grey	7525	12882	58.4
ABHD6	0.000832771924857472	0.000606527832330001	0.000226244092527471	0.00038028373980253	grey	10352	12882	80.4
ABHD8	0.00223542892819056	0.00180909749262853	0.000426331435562024	0.00138276605706651	grey	8371	12882	65
ABI1	0.218062089390601	0.147584819891982	0.0704772694986184	0.0771075503933636	grey	1293	12882	10
ABI2	0.015253038823952	0.0124761943620028	0.00277684446194914	0.00969934990005368	grey	5046	12882	39.2
ABI3	0.0487299535179229	0.0327689466458313	0.0159610068720916	0.0168079397737397	grey	3424	12882	26.6
ABI3BP	0.0289390576922304	0.0284077277604803	0.000531329931750132	0.0278763978287301	grey	3664	12882	28.4
ABL1	0.00127194399743092	0.00115905931595939	0.000112884681471534	0.00104617463448786	grey	9132	12882	70.9
ABL2	0.00806842160053916	0.00507158214297494	0.00299683945756422	0.00207474268541072	grey	6542	12882	50.8
ABLIM1	0.0102662586700865	0.00893159996863572	0.00133465870145074	0.00759694126718498	grey	5603	12882	43.5
ABLIM2	0.000608666215789628	0.000529015100316745	7.96511154728829e-05	0.000449363984843863	grey	10620	12882	82.4
ABLIM3	0.00223167479051779	0.0022291627499318	2.51204058599646e-06	0.0022266507093458	grey	7969	12882	61.9
ABO	0.000355466244874033	0.000354021212431557	1.44503244247583e-06	0.000352576179989081	grey	11348	12882	88.1
ABR	0.00118680786174263	0.00112618323898559	6.0624622757041e-05	0.00106555861622855	grey	9176	12882	71.2
ABRA	0.000244873813390377	0.00024348341104788	1.39040234249709e-06	0.000242093008705383	grey	11925	12882	92.6
ABT1	0.0573700739247196	0.0457344758008468	0.0116355981238728	0.034098877676974	grey	2923	12882	22.7
ABTB1	0.0176610328692791	0.0168363849891186	0.000824647880160498	0.0160117371089581	grey	4510	12882	35
ABTB2	0.00525957811752517	0.00523866632959226	2.09117879329083e-05	0.00521775454165936	grey	6483	12882	50.3
ACAA1	0.159314010542539	0.132542877485281	0.0267711330572584	0.105771744428022	grey	1422	12882	11
ACAA2	0.00414595356073219	0.00395192544142063	0.000194028119311566	0.00375789732210906	grey	6969	12882	54.1
ACACA	0.00708729508994257	0.00461005632601367	0.0024772387639289	0.00213281756208477	grey	6701	12882	52
ACACB	0.000574870540405774	0.000573875010129833	9.95530275940183e-07	0.000572879479853893	grey	10471	12882	81.3
ACAD10	0.00452146072065916	0.00415252705800366	0.000368933662655498	0.00378359339534817	grey	6885	12882	53.4
ACAD11	0.00101839363234192	0.00101704822187767	1.34541046424596e-06	0.00101570281141342	grey	9385	12882	72.9
ACAD8	0.0353614736819776	0.0241621907375353	0.0111992829444423	0.012962907793093	grey	3924	12882	30.5
ACAD9	0.000258801511763284	0.000245844987406455	1.29565243568292e-05	0.000232888463049626	grey	11910	12882	92.5
ACADM	0.448296880892539	0.3574705206683	0.090826360224239	0.266644160444061	grey	535	12882	4.2
ACADS	0.0909303998652941	0.0453938146792347	0.0455365851860594	-0.000142770506824721	grey	2938	12882	22.8
ACADSB	0.0129394036967216	0.011470035350981	0.00146936834574056	0.0100006670052405	grey	5193	12882	40.3
ACADVL	0.0145610549956034	0.012361854375586	0.00219920062001736	0.0101626537555687	grey	5059	12882	39.3
ACAN	0.000196989865482993	0.000195214799465558	1.77506601743501e-06	0.000193439733448123	grey	12220	12882	94.9
ACAP1	0.317981906291209	0.201446267011459	0.11653563927975	0.0849106277317082	grey	984	12882	7.6
ACAP2	0.778400332941125	0.576400800819289	0.201999532121835	0.374401268697454	grey	294	12882	2.3
ACAP3	0.184060741720021	0.0889385188332947	0.0951222228867259	-0.00618370405343116	grey	1954	12882	15.2
ACAT1	0.158741767540038	0.0856449929380482	0.0730967746019901	0.0125482183360581	grey	2003	12882	15.5
ACAT2	0.00228428159865507	0.00191398874982578	0.000370292848829291	0.00154369590099649	grey	8258	12882	64.1
ACBD3	0.251083024282129	0.141519073236777	0.109563951045352	0.0319551221914253	grey	1344	12882	10.4
ACBD4	0.0218803285554244	0.0122284606615908	0.00965186789383351	0.00257659276775734	grey	5081	12882	39.4
ACBD5	0.0577489777429302	0.0177389650289783	0.0400100127139519	-0.0222710476849735	grey	4441	12882	34.5
ACBD6	0.0012923600128709	0.00128433261660705	8.02739626384863e-06	0.0012763052203432	grey	8968	12882	69.6
ACBD7	0.000628542782812147	0.000563912024141831	6.46307586703159e-05	0.000499281265471515	grey	10507	12882	81.6
ACCS	0.000219669644282581	0.00021598089668179	3.68874760079085e-06	0.000212292149080999	grey	12076	12882	93.7
ACD	0.189220334715689	0.128877513591229	0.0603428211244593	0.06853469246677	grey	1462	12882	11.3
ACE	0.00137404877652264	0.00135520364592057	1.88451306020682e-05	0.0013363585153185	grey	8885	12882	69
ACER1	0.000198746402805284	0.000196519072662912	2.22733014237214e-06	0.00019429174252054	grey	12208	12882	94.8
ACER2	0.00073607199068639	0.000692789032866024	4.32829578203657e-05	0.000649506075045658	grey	10097	12882	78.4
ACER3	0.00123072041360187	0.00118734144847073	4.33789651311457e-05	0.00114396248333958	grey	9091	12882	70.6
ACHE	0.014790712222703	0.0131485339624576	0.00164217826024544	0.0115063557022121	grey	4952	12882	38.4
ACIN1	0.0786012104917273	0.0773069173860495	0.0012942931056778	0.0760126242803717	grey	2162	12882	16.8
ACLY	0.0933047305479712	0.0680448426255059	0.0252598879224653	0.0427849547030406	grey	2353	12882	18.3
ACMSD	0.00230536020328306	0.0021969835346005	0.000108376668682554	0.00208860686591795	grey	7997	12882	62.1
ACO1	0.00225891565862198	0.00217314755834255	8.57681002794292e-05	0.00208737945806312	grey	8023	12882	62.3
ACO2	0.0667635357069844	0.0392327412321032	0.0275307944748812	0.0117019467572219	grey	3168	12882	24.6
ACOT1	0.000360976972717536	0.000360921376509903	5.55962076334462e-08	0.000360865780302269	grey	11319	12882	87.9
ACOT11	0.00112067245608086	0.00110984134336975	1.0831112711113e-05	0.00109901023065864	grey	9199	12882	71.4
ACOT13	0.0160647524418296	0.0142580780832334	0.0018066743585962	0.0124514037246372	grey	4823	12882	37.4
ACOT2	0.000359022576676184	0.000338522673955069	2.04999027211155e-05	0.000318022771233953	grey	11423	12882	88.7
ACOT4	0.00031734182128259	0.000315884560864227	1.45726041836245e-06	0.000314427300445865	grey	11528	12882	89.5
ACOT7	0.00425190054836974	0.00412126638957196	0.000130634158797788	0.00399063223077417	grey	6896	12882	53.5
ACOT8	0.104105116878419	0.0581418761425461	0.0459632407358733	0.0121786354066728	grey	2601	12882	20.2
ACOT9	0.00175319694117114	0.00160736583820033	0.000145831102970808	0.00146153473522952	grey	8584	12882	66.6
ACOX1	0.000715669539076152	0.00067528093767161	4.03886014045422e-05	0.000634892336267068	grey	10150	12882	78.8
ACOX2	0.0259624171597706	0.025962382334505	3.48252655844872e-08	0.0259623475092394	grey	3810	12882	29.6
ACOX3	0.00103980182830619	0.000935409616148839	0.000104392212157352	0.000831017403991487	grey	9548	12882	74.1
ACOXL	0.073035234017687	0.0730336688708022	1.56514688480491e-06	0.0730321037239174	grey	2238	12882	17.4
ACP1	0.0147539981628581	0.014439219096381	0.000314779066477073	0.0141244400299039	grey	4800	12882	37.3
ACP2	0.0084727896256109	0.00660339825353895	0.00186939137207195	0.00473400688146701	grey	6127	12882	47.6
ACP5	0.0518812519212509	0.0378835242469109	0.0139977276743401	0.0238857965725708	grey	3220	12882	25
ACP6	0.00481459800882142	0.00356366213276531	0.0012509358760561	0.00231272625670921	grey	7142	12882	55.4
ACRBP	0.000274512509401766	0.000268906500057365	5.60600934440097e-06	0.000263300490712964	grey	11782	12882	91.5
ACRV1	0.00507183687376967	0.0048366469834475	0.000235189890322167	0.00460145709312534	grey	6618	12882	51.4
ACSBG1	0.00655460672206428	0.00655407810081089	5.28621253395589e-07	0.00655354947955749	grey	6137	12882	47.6
ACSBG2	0.000249810275984862	0.000248768467469186	1.04180851567527e-06	0.000247726658953511	grey	11892	12882	92.3
ACSF2	0.0190848874778639	0.0152831063351886	0.00380178114267534	0.0114813251925133	grey	4683	12882	36.4
ACSF3	0.0173540743147401	0.0142561095977964	0.00309796471694365	0.0111581448808528	grey	4826	12882	37.5
ACSL1	0.00109836314885359	0.00109085856121806	7.50458763552658e-06	0.00108335397358253	grey	9241	12882	71.7
ACSL3	0.0120485897313303	0.00729269334462454	0.00475589638670578	0.00253679695791876	grey	5943	12882	46.1
ACSL4	0.00292203971027434	0.00282946052505177	9.25791852225684e-05	0.0027368813398292	grey	7547	12882	58.6
ACSL5	0.230287610422888	0.117082435873563	0.113205174549325	0.00387726132423744	grey	1593	12882	12.4
ACSL6	0.00092527061272229	0.000853244750309756	7.20258624125335e-05	0.000781218887897223	grey	9722	12882	75.5
ACSM1	0.00298457232559241	0.00298432521531759	2.47110274824523e-07	0.00298407810504276	grey	7454	12882	57.9
ACSM3	0.00443088888588342	0.00407905890587208	0.000351829980011337	0.00372722892586074	grey	6919	12882	53.7
ACSS2	0.00229049680801083	0.0018881863653071	0.000402310442703738	0.00148587592260336	grey	8285	12882	64.3
ACTA1	0.000227634983783452	0.000226990611507522	6.4437227592965e-07	0.000226346239231593	grey	12023	12882	93.3
ACTA2	0.00134375604840429	0.00103635124387433	0.000307404804529955	0.000728946439344375	grey	9348	12882	72.6
ACTB	0.246584132325456	0.21497493297531	0.0316091993501459	0.183365733625164	grey	926	12882	7.2
ACTG1	0.130643304565922	0.069383041519649	0.0612602630462733	0.00812277847337561	grey	2328	12882	18.1
ACTG2	0.000243946610723483	0.000243687593791643	2.59016931839759e-07	0.000243428576859804	grey	11923	12882	92.6
ACTL10	0.00133479847894461	0.00103419674730668	0.000300601731637931	0.000733595015668747	grey	9350	12882	72.6
ACTL6B	0.0018686206857934	0.00186826985413941	3.50831653990122e-07	0.00186791902248542	grey	8304	12882	64.5
ACTL7A	0.000886926542645174	0.000839525475029695	4.74010676154795e-05	0.000792124407414215	grey	9749	12882	75.7
ACTN1	0.0293231272041949	0.0261681409681806	0.00315498623601422	0.0230131547321664	grey	3796	12882	29.5
ACTN2	0.0119878311201427	0.0119821539229311	5.67719721162804e-06	0.0119764767257195	grey	5115	12882	39.7
ACTN3	0.00203555084193354	0.00203084584730333	4.704994630211e-06	0.00202614085267312	grey	8131	12882	63.1
ACTN4	0.265291591505026	0.175952116916991	0.0893394745880349	0.0866126423289559	grey	1113	12882	8.6
ACTR10	0.365567290401647	0.26418944863114	0.101377841770507	0.162811606860632	grey	736	12882	5.7
ACTR1A	0.150861734295041	0.0707103673625338	0.0801513669325076	-0.0094409995699738	grey	2298	12882	17.8
ACTR1B	0.128264132222564	0.0637907259860189	0.0644734062365456	-0.000682680250526702	grey	2453	12882	19
ACTR2	0.477689426868631	0.395124128544727	0.0825652983239037	0.312558830220824	grey	479	12882	3.7
ACTR3	3.37624933805309	2.04455621846465	1.33169311958844	0.712863098876212	grey	20	12882	0.2
ACTR3B	0.00294373173027253	0.000815292932792964	0.00212843879747957	-0.0013131458646866	grey	9804	12882	76.1
ACTR3C	0.000541235063730355	0.000519742931108538	2.14921326218173e-05	0.000498250798486721	grey	10658	12882	82.7
ACTR5	0.00289252315976769	0.00279350912523136	9.90140345363232e-05	0.00269449509069504	grey	7564	12882	58.7
ACTR6	1.46021368425579	1.26550691670916	0.194706767546626	1.07080014916254	grey	86	12882	0.7
ACTR8	0.000582019897590088	0.0005598581345983	2.21617629917881e-05	0.000537696371606512	grey	10519	12882	81.7
ACVR1	0.00616908562373146	0.0031567494622434	0.00301233616148806	0.000144413300755338	grey	7352	12882	57.1
ACVR1B	0.00446897688662551	0.00335001222805164	0.00111896465857387	0.00223104756947777	grey	7240	12882	56.2
ACVR1C	0.0300017398185004	0.0258274644568577	0.00417427536164273	0.0216531890952149	grey	3819	12882	29.6
ACVR2A	0.00897209648166396	0.00745951255733096	0.001512583924333	0.00594692863299795	grey	5902	12882	45.8
ACVR2B	0.000301516879188483	0.000283718635541368	1.77982436471156e-05	0.000265920391894252	grey	11692	12882	90.8
ACVRL1	0.00340082227234977	0.00340069749558457	1.24776765199255e-07	0.00340057271881937	grey	7214	12882	56
ACY1	0.000229861550030933	0.000229487501084706	3.74048946226202e-07	0.00022911345213848	grey	12003	12882	93.2
ACY3	0.000191345619912246	0.000190712017396522	6.33602515724262e-07	0.000190078414880798	grey	12250	12882	95.1
ACYP1	0.130278358124799	0.082152436497817	0.0481259216269822	0.0340265148708348	grey	2068	12882	16.1
ACYP2	0.0132877557462041	0.0104771860682219	0.00281056967798226	0.00766661639023962	grey	5336	12882	41.4
ADA	0.0939807150619084	0.0614379533327135	0.0325427617291949	0.0288951916035186	grey	2505	12882	19.4
ADAD1	0.00328917856038146	0.00328908811805878	9.04423226844552e-08	0.0032889976757361	grey	7282	12882	56.5
ADAD2	0.000115852921451348	0.000115809406350195	4.35151011524322e-08	0.000115765891249043	grey	12644	12882	98.2
ADAL	0.00314647468293889	0.00288114198100964	0.000265332701929252	0.00261580927908038	grey	7515	12882	58.3
ADAM10	0.0783750746614701	0.0735355664910106	0.00483950817045956	0.068696058320551	grey	2230	12882	17.3
ADAM11	0.000224125778160352	0.000223849849210455	2.75928949897901e-07	0.000223573920260557	grey	12036	12882	93.4
ADAM12	0.00177819643380272	0.00169102840574269	8.71680280600258e-05	0.00160386037768267	grey	8486	12882	65.9
ADAM15	0.00617428842413919	0.00458710192356758	0.00158718650057161	0.00299991542299597	grey	6713	12882	52.1
ADAM17	0.0267026868059037	0.0233091609515442	0.00339352585435956	0.0199156350971846	grey	3991	12882	31
ADAM19	0.00111441271308094	0.000922016166884781	0.000192396546196156	0.000729619620688625	grey	9570	12882	74.3
ADAM20	0.00321136560147317	0.00270852038567943	0.000502845215793744	0.00220567516988569	grey	7621	12882	59.2
ADAM21	0.00472742515030555	0.00472739775070526	2.7399600286554e-08	0.00472737035110497	grey	6652	12882	51.6
ADAM22	0.00591330372496231	0.00587624493750754	3.70587874547719e-05	0.00583918615005277	grey	6314	12882	49
ADAM23	0.00171965085724678	0.00170479529851207	1.48555587347063e-05	0.00168993973977736	grey	8476	12882	65.8
ADAM28	0.000435925225688129	0.00041440046187453	2.15247638135986e-05	0.000392875698060932	grey	11061	12882	85.9
ADAM8	0.0381030421101071	0.0271948016351611	0.0109082404749461	0.016286561160215	grey	3735	12882	29
ADAM9	0.00438977328194962	0.00261150142674261	0.001778271855207	0.000833229571535607	grey	7682	12882	59.6
ADAMDEC1	0.0017820406250896	0.00176079797958852	2.12426455010759e-05	0.00173955533408745	grey	8415	12882	65.3
ADAMTS1	0.00135631333448441	0.00125407135999066	0.000102241974493748	0.00115182938549691	grey	9002	12882	69.9
ADAMTS10	0.00125206452203544	0.00106442618580631	0.000187638336229133	0.000876787849577174	grey	9297	12882	72.2
ADAMTS12	0.00121560293344654	0.00120590540683225	9.6975266142892e-06	0.00119620788021796	grey	9060	12882	70.3
ADAMTS13	0.000383629915442195	0.000383322038569279	3.07876872915325e-07	0.000383014161696364	grey	11206	12882	87
ADAMTS15	0.0343935068657515	0.0343849511119922	8.55575375927065e-06	0.0343763953582329	grey	3349	12882	26
ADAMTS16	0.00178018382326644	0.00177973545160001	4.48371666435807e-07	0.00177928707993357	grey	8390	12882	65.1
ADAMTS17	0.000894360355370541	0.000894153879324065	2.06476046475884e-07	0.000893947403277589	grey	9637	12882	74.8
ADAMTS2	0.0716042546216751	0.0715866883896925	1.75662319826797e-05	0.0715691221577098	grey	2271	12882	17.6
ADAMTS3	0.115332420088331	0.115330839466826	1.58062150447391e-06	0.115329258845322	grey	1608	12882	12.5
ADAMTS4	0.000416193083808659	0.000394776661162267	2.1416422646392e-05	0.000373360238515875	grey	11152	12882	86.6
ADAMTS6	0.00300203433101498	0.00300031552237643	1.71880863855146e-06	0.00299859671373788	grey	7442	12882	57.8
ADAMTS8	0.000617255247848815	0.000616892778068536	3.62469780279193e-07	0.000616530308288257	grey	10322	12882	80.1
ADAMTSL1	0.000713076510819053	0.00071295078137178	1.25729447272892e-07	0.000712825051924507	grey	10056	12882	78.1
ADAMTSL2	0.00231602331002562	0.00171251903809562	0.000603504271930002	0.00110901476616562	grey	8471	12882	65.8
ADAMTSL4	0.0123816197947718	0.00787503511465414	0.00450658468011765	0.00336845043453649	grey	5808	12882	45.1
ADAMTSL5	0.000120177325000822	0.000119924588422953	2.52736577868737e-07	0.000119671851845084	grey	12615	12882	97.9
ADAP1	0.000215252953380908	0.00021044998758692	4.80296579398839e-06	0.000205647021792931	grey	12112	12882	94
ADAP2	0.008436089712755	0.00843221370187674	3.87601087825477e-06	0.00842833769099849	grey	5698	12882	44.2
ADAR	0.13579103751527	0.134897107920721	0.000893929594548315	0.134003178326173	grey	1399	12882	10.9
ADARB1	0.00621235761388616	0.00407165148617925	0.00214070612770692	0.00193094535847233	grey	6922	12882	53.7
ADARB2	0.00540805243910253	0.00540775956230104	2.92876801490614e-07	0.00540746668549955	grey	6434	12882	49.9
