gene	MM	p.MM	GS.Allergy	p.GS.Allergy	colors	kTotal	kWithin	kOut	kDiff	Rank	GeneNumber	Rank_ratio
AREG	0.756756685552966	2.01182938794025e-19	-0.425602591518246	1.24921116055175e-05	turquoise	0.904718098905186	0.769265247797117	0.135452851108069	0.633812396689047	72	247	29.1
ARID5A	0.776586305024208	5.67579079579373e-21	-0.382212547650281	0.000102879606244055	turquoise	1.44903774113054	0.77730333140698	0.671734409723563	0.105568921683417	70	247	28.3
ARL4C	0.727311445606758	2.23817442134281e-17	-0.431423917693958	9.2020320812121e-06	turquoise	0.81599466321894	0.659368230312575	0.156626432906364	0.502741797406211	86	247	34.8
ARL5B	0.752668554577787	4.02475364854453e-19	-0.326892707208663	0.00101873845937281	turquoise	2.63026123124145	0.966886827119463	1.66337440412198	-0.69648757700252	49	247	19.8
ARL6IP5	-0.797675739702276	8.35211243344514e-23	0.38443645756612	9.29871498165382e-05	turquoise	1.68748003416463	1.11831926113737	0.569160773027257	0.549158488110115	37	247	15
ARRDC2	0.824616874752482	1.73386493487794e-25	-0.420303354070756	1.64198957112761e-05	turquoise	1.82276351107464	1.4239852960639	0.398778215010735	1.02520708105317	26	247	10.5
ATG16L1	0.761402476693345	8.9966392829381e-20	-0.322159673474408	0.00121641215484765	turquoise	1.13827350674576	0.657170654684878	0.481102852060877	0.176067802624001	87	247	35.2
ATG2A	0.710765689919163	2.43693538972972e-16	-0.269061490949775	0.00738442428261261	turquoise	1.01581667993592	0.481928472698204	0.533888207237712	-0.0519597345395085	111	247	44.9
AVPI1	0.843511122589453	1.16951834055365e-27	-0.444073534139036	4.64346684711622e-06	turquoise	1.87107556489113	1.53802362784929	0.333051937041848	1.20497169080744	23	247	9.3
BCL3	0.711991420205836	2.05364133888038e-16	-0.436881105720621	6.87374578801869e-06	turquoise	0.564336140615699	0.372490998351154	0.191845142264546	0.180645856086608	137	247	55.5
BCL6	0.702968571769138	7.09161881118014e-16	-0.21942865233312	0.0299392722418105	turquoise	0.420104940365419	0.308907595982959	0.11119734438246	0.197710251600499	162	247	65.6
BRD1	0.722955829038832	4.26691926015938e-17	-0.287494226880904	0.00409963234361308	turquoise	0.881622287049432	0.356711418688319	0.524910868361113	-0.168199449672794	142	247	57.5
BTG2	0.732716894187863	9.87531707220793e-18	-0.344451517647349	0.000514550369988623	turquoise	0.714968777956331	0.616250605134349	0.0987181728219811	0.517532432312368	89	247	36
BTG3	0.811062681852204	4.3893680819024e-24	-0.215651344347172	0.0329567987208584	turquoise	1.90605988563811	1.20050080875943	0.705559076878683	0.494941731880743	34	247	13.8
CASP1	-0.734498121529528	7.50872095295022e-18	0.351451185207392	0.000387499907919071	turquoise	1.03236007193263	0.546299054139471	0.486061017793161	0.0602380363463106	102	247	41.3
CASP2	-0.756514312609396	2.09705791132869e-19	0.442428373313273	5.08335166109954e-06	turquoise	0.8822506394034	0.580805857427823	0.301444781975577	0.279361075452246	96	247	38.9
CASP6	-0.741661279559784	2.43931374566394e-18	0.337921823465735	0.000666456453962562	turquoise	0.993212050261563	0.401188237850069	0.592023812411495	-0.190835574561426	130	247	52.6
CD3D	-0.735567975412213	6.3626872820692e-18	0.467098638019896	1.2436508579563e-06	turquoise	0.95146524922942	0.39849506766494	0.552970181564481	-0.154475113899541	131	247	53
CD53	-0.778471781673063	3.9668375959525e-21	0.206864761566103	0.0409788173593645	turquoise	1.56291720117818	0.897845557916106	0.665071643262071	0.232773914654036	57	247	23.1
CDK16	0.748065900521259	8.64689452632689e-19	-0.227868218134306	0.02403231169059	turquoise	1.40760385910128	0.569530526731629	0.838073332369655	-0.268542805638025	98	247	39.7
CDKN1A	0.827196175439056	9.08431859140213e-26	-0.50401475427772	1.21802564579721e-07	turquoise	2.46077739753315	2.19252434371322	0.268253053819921	1.9242712898933	13	247	5.3
CEPT1	-0.741316642969686	2.57708149317147e-18	0.284887463912849	0.00446594404880578	turquoise	0.707671874136922	0.441217762035572	0.26645411210135	0.174763649934222	122	247	49.4
CREM	0.856870172924373	2.24765426442237e-29	-0.418061174592168	1.84081697763912e-05	turquoise	3.59887002236448	2.89425553665819	0.704614485706287	2.1896410509519	6	247	2.4
CSNK1D	0.704721319022333	5.59468747055908e-16	-0.291415552608514	0.00359903766929567	turquoise	0.612938447298153	0.313762758093351	0.299175689204802	0.0145870688885487	160	247	64.8
CSRNP1	0.899923031321657	2.23769491304179e-36	-0.432983037682183	8.47054463450113e-06	turquoise	4.46875309457049	3.83782708907008	0.630926005500413	3.20690108356966	4	247	1.6
CXCR4	0.705747938082662	4.86535835195595e-16	-0.336293960946025	0.000710234308737308	turquoise	1.02979545169026	0.741051428890932	0.288744022799325	0.452307406091606	74	247	30
DCP1A	0.768693273043036	2.45053632252591e-20	-0.246911087231284	0.014245622942664	turquoise	1.38609447160997	0.677378688582304	0.708715783027664	-0.0313370944453608	83	247	33.6
DCTN6	0.810590842795914	4.88888813625113e-24	-0.279122491633892	0.00538151570547594	turquoise	3.9914645197205	1.30862074672929	2.6828437729912	-1.37422302626191	30	247	12.1
DDIT3	0.733239529259428	9.11460513415032e-18	-0.366107628803959	0.000209432187617238	turquoise	0.614281145387043	0.417802665481076	0.196478479905967	0.221324185575109	124	247	50.2
DDIT4	0.786756908792567	7.87565726871336e-22	-0.410439762853384	2.69850634674462e-05	turquoise	1.20535559843086	1.0592999855901	0.146055612840755	0.913244372749349	40	247	16.2
DDX47	0.719472961439468	7.08573655925461e-17	-0.250977605095486	0.0126773041388162	turquoise	1.04456911221687	0.439000314608796	0.605568797608077	-0.166568482999282	123	247	49.8
DNAJB1	0.862325508861801	3.98219579023893e-30	-0.344503919624983	0.000513471615476426	turquoise	2.96645985205446	2.10539815603838	0.861061696016086	1.24433646002229	15	247	6.1
DUSP2	0.790782560203387	3.4974804312944e-22	-0.44401262467953	4.65909221604281e-06	turquoise	1.21038921048435	1.03025748956829	0.180131720916059	0.850125768652235	43	247	17.4
DUSP4	0.716610649253144	1.06891391538462e-16	-0.259266366676379	0.00993982470259799	turquoise	0.597500550509573	0.450637047025437	0.146863503484135	0.303773543541302	120	247	48.6
DUSP5	0.801313593329751	3.83524772117509e-23	-0.543174658986892	7.52740939943653e-09	turquoise	1.85087625777495	1.21293254581561	0.637943711959347	0.574988833856259	33	247	13.4
DYNLT1	0.739489229041039	3.44364804240562e-18	-0.400189093641696	4.44917664766131e-05	turquoise	1.06929974704246	0.706681166518765	0.362618580523694	0.344062585995072	78	247	31.6
ELL2	0.702364527066273	7.69233755999162e-16	-0.479378897938508	5.91662765979671e-07	turquoise	0.60697204457561	0.345762396358175	0.261209648217434	0.0845527481407409	149	247	60.3
ETF1	0.783064957263926	1.63295005900023e-21	-0.307860782890788	0.00204356347927203	turquoise	2.90505937408371	1.15550788474603	1.74955148933768	-0.594043604591654	36	247	14.6
ETV3	0.756339149887986	2.16082629813334e-19	-0.384839715639318	9.12909527312407e-05	turquoise	1.48298308077202	1.00157956387377	0.48140351689825	0.520176046975518	45	247	18.2
FAM177A1	0.74988674686108	6.40224311472685e-19	-0.452240391302133	2.94209038591534e-06	turquoise	1.03304407607671	0.670870046761888	0.362174029314826	0.308696017447062	84	247	34
FLI1	-0.760031488731664	1.14299436406888e-19	0.245094065193921	0.0149991659962321	turquoise	1.55396196665173	0.81737318761228	0.736588779039449	0.0807844085728309	66	247	26.7
FOSL2	0.857661939301022	1.75626198305482e-29	-0.49892635479933	1.70560193191079e-07	turquoise	2.44421401862338	2.0671061662777	0.377107852345687	1.68999831393201	18	247	7.3
FTH1	0.835242393059077	1.12675136973571e-26	-0.347146503377309	0.000461686574961271	turquoise	1.75514698311559	1.45330271134082	0.301844271774764	1.15145843956606	25	247	10.1
GABARAPL1	0.862254378436077	4.07501073083988e-30	-0.490715603805154	2.90321063034876e-07	turquoise	3.19416188230786	2.38830885593525	0.805853026372602	1.58245582956265	8	247	3.2
GADD45A	0.794477005492465	1.63440108095777e-22	-0.415266470332334	2.12026674957678e-05	turquoise	1.57897080306175	1.1601466556315	0.418824147430248	0.74132250820125	35	247	14.2
GIMAP1	-0.852556726175445	8.40100450766985e-29	0.468257126714165	1.16090312368654e-06	turquoise	2.3515906612743	1.7549296317534	0.5966610295209	1.1582686022325	22	247	8.9
GIMAP4	-0.768098630223963	2.72959795475636e-20	0.327343932395672	0.00100151127372291	turquoise	1.73254698678407	0.850957234991726	0.881589751792339	-0.0306325168006136	63	247	25.5
GIMAP6	-0.745506750175108	1.31353666534451e-18	0.436587394817043	6.9834159867214e-06	turquoise	1.51960177662601	0.716860834532254	0.802740942093751	-0.085880107561497	76	247	30.8
GIMAP7	-0.768245478085726	2.65793929971194e-20	0.474857272496873	7.80418286435442e-07	turquoise	1.94492139367023	0.924073683853355	1.02084770981687	-0.0967740259635167	53	247	21.5
