gene_id	colors
A1BG	grey
A1BG-AS1	grey
A1CF	grey
A2M	grey
A2ML1	grey
A2MP1	grey
AAAS	grey
AACS	grey
AAGAB	grey
AAK1	grey
AAMP	grey
AANAT	grey
AARS2	grey
AARSD1	grey
AASDH	grey
AASDHPPT	grey
AASS	grey
AATK	grey
ABAT	grey
ABCA1	grey
ABCA10	grey
ABCA11P	grey
ABCA12	grey
ABCA13	grey
ABCA17P	grey
ABCA2	grey
ABCA3	grey
ABCA5	grey
ABCA6	grey
ABCA7	grey
ABCA9	grey
ABCB1	grey
ABCB10	grey
ABCB4	grey
ABCB5	grey
ABCB6	grey
ABCB7	grey
ABCB8	grey
ABCB9	grey
ABCC1	grey
ABCC10	grey
ABCC11	grey
ABCC13	grey
ABCC2	grey
ABCC3	grey
ABCC4	grey
ABCC5	grey
ABCC9	grey
ABCD1	grey
ABCD2	grey
ABCD3	grey
ABCD4	grey
ABCE1	grey
ABCF2	blue
ABCF3	grey
ABCG1	grey
ABCG2	grey
ABCG8	grey
ABHD1	grey
ABHD10	grey
ABHD11	grey
ABHD11-AS1	grey
ABHD12	grey
ABHD13	grey
ABHD14A	grey
ABHD14B	grey
ABHD15	grey
ABHD2	grey
ABHD3	grey
ABHD4	grey
ABHD5	grey
ABHD6	grey
ABHD8	grey
ABI1	grey
ABI2	grey
ABI3	grey
ABI3BP	grey
ABL1	grey
ABL2	grey
ABLIM1	grey
ABLIM2	grey
ABLIM3	grey
ABO	grey
ABR	grey
ABRA	grey
ABT1	grey
ABTB1	grey
ABTB2	grey
ACAA1	grey
ACAA2	grey
ACACA	grey
ACACB	grey
ACAD10	grey
ACAD11	grey
ACAD8	grey
ACAD9	grey
ACADM	grey
ACADS	grey
ACADSB	grey
ACADVL	grey
ACAN	grey
ACAP1	grey
ACAP2	grey
ACAP3	grey
ACAT1	grey
ACAT2	grey
ACBD3	grey
ACBD4	grey
ACBD5	grey
ACBD6	grey
ACBD7	grey
ACCS	grey
ACD	grey
ACE	grey
ACER1	grey
ACER2	grey
ACER3	grey
ACHE	grey
ACIN1	grey
ACLY	grey
ACMSD	grey
ACO1	grey
ACO2	grey
ACOT1	grey
ACOT11	grey
ACOT13	grey
ACOT2	grey
ACOT4	grey
ACOT7	grey
ACOT8	grey
ACOT9	grey
ACOX1	grey
ACOX2	grey
ACOX3	grey
ACOXL	grey
ACP1	grey
ACP2	grey
ACP5	grey
ACP6	grey
ACRBP	grey
ACRV1	grey
ACSBG1	grey
ACSBG2	grey
ACSF2	grey
ACSF3	grey
ACSL1	grey
ACSL3	grey
ACSL4	grey
ACSL5	grey
ACSL6	grey
ACSM1	grey
ACSM3	grey
ACSS1	yellow
ACSS2	grey
ACTA1	grey
ACTA2	grey
ACTB	grey
ACTG1	grey
ACTG2	grey
ACTL10	grey
ACTL6A	turquoise
ACTL6B	grey
ACTL7A	grey
ACTN1	grey
ACTN2	grey
ACTN3	grey
