SRR8508516	SRR8508517	SRR8508518	SRR8508519	SRR8508520	SRR8508521	SRR8508522	SRR8508523	SRR8508524	SRR8508525
WASH7P	0.00422922602840187	0	0.00716601656165932	0.013970307454525	0.0119504832963415	0	0	0	0	0.00579002628561392
DDX11L17	0.0648046561065594	0.196432509087496	0.149066037197824	0.0820595015851769	0	0	0	0.0663618843457597	0	0.096873030487795
WASH9P	0.0448075425427445	0.00495722615607354	0.0182691902412899	0.0533752906278594	0.0635221758585553	0.0315280305023146	0.00702659959961744	0.0240813761407683	0.0629841133052816	0.0846829385733642
U6	3.90462108480228	4.76540882408966	3.47645338956171	3.83789069257115	4.14896760839212	3.55863803866813	5.09275764915699	4.37646603107806	4.75836137819164	4.04968814251504
MTND1P23	0.264784383688081	0	0.381004355146289	0.96438487467245	0.409191047090234	0.699717392789884	0.289590095144438	1.09141620239745	0.785466057790928	0.195365418935212
MTND2P28	6.48078236579638	5.47097443340255	6.48078236579638	6.55977232749972	6.58112780816982	6.22382012359093	6.25844098534276	6.07597766871742	5.91466440357454	6.65223982862212
MTCO1P12	2.04576455514947	1.05589099603872	2.21702341986614	1.82186550778459	2.32411066518422	2.53549877814033	3.54249200442555	2.20935025745644	2.77709409863012	3.44529246329462
MTCO2P12	3.13860252799368	2.10308177571196	2.0924367666548	2.32569361641525	2.55998845443266	2.62430521647492	2.52002621538461	2.32206596776695	2.27667652042351	2.50314062807161
MTATP8P1	1.6698387535854	0.775071472354512	1.11316759642973	1.23924575889809	1.07309705970704	1.50553019607469	1.21341391332664	1.45457154330473	1.21401450737888	1.43849991635496
MTATP6P1	9.51891397497217	8.95390083744869	9.31386169873087	9.69532194602238	9.59595920646907	9.19300997502445	9.65084562534182	9.69532194602238	9.01714020618045	9.75568299433441
MTCO3P12	2.0436815489905	1.55585044256345	7.23303663208735	1.88826158595612	1.92690304379832	1.7304205207954	2.48368377368772	1.91108536942637	1.57395521931281	2.48395416959175
RNU6-1199P	0	0.775071472354512	0	1.23924575889809	0	0	1.87460218818683	0.656283815236415	0.606795461461423	0.632282181469337
LINC01409	0.0922734350324218	0.0711228949928164	0.0476816215276074	0.0903827623097145	0.089109679587493	0.054008571274565	0.0362503893838192	0.0547752747955602	0.0454399442827055	0.0334479107530284
FAM87B	0.203012476669571	0.41955101578097	0.265428039090565	0.375673415393008	0.348970474003437	0.411667814415952	0.13071081815993	0.585944059388526	0.307649503489724	0.146026190601716
LINC01128	0.420254968136796	0.309309701332152	0.409875130301459	0.343711877452335	0.424577303346025	0.513204323066379	0.312452299167659	0.409294670786524	0.482132793030881	0.379911172276063
LINC00115	1.13516930757768	0.833425668785651	0.983964838773665	0.974268858779806	1.02207842869363	0.812910461510721	0.794585911828473	0.899820907299599	1.38851559423944	1.10226147329434
TUBB8P11	0	0.0825660991851269	0.138811564722851	0	0.167097047278545	0	0	0.163019324823333	0.140565254955802	0.0697033401110671
