gene	type
KTN1-AS1	im_GMK
OR8H3	im_GMK
GALNT7	im_GMK
NOTCH3	im_GMK
EFCC1	im_GMK
LIX1L	im_GMK
RASD1	im_GMK
KLRC3	im_GMK
FBXO31	im_GMK
SSX3	im_GMK
ITGB2	im_GMK
DKFZP564C152	im_GMK
EBI3	im_GMK
ZNF888	im_GMK
BMP8B	im_GMK
SCGB3A2	im_GMK
LOC102723925	im_GMK
SH2D2A	im_GMK
FAM129A	im_GMK
PLA2G4A	im_GMK
LDOC1	im_GMK
IL18R1	im_GMK
PLK3	im_GMK
LHFPL2	im_GMK
HPSE	im_GMK
C6orf226	im_GMK
CLCNKB	im_GMK
PBXIP1	im_GMK
EPS8	im_GMK
SCAMP1	im_GMK
FAM175B	im_GMK
RARRES1	im_GMK
PDE4DIP	im_GMK
RNASET2	im_GMK
LZTS1	im_GMK
CNR2	im_GMK
HACE1	im_GMK
ZNF205	im_GMK
TMEM79	im_GMK
FBL	im_GMK
ARHGAP23	im_GMK
UBASH3A	im_GMK
SBNO2	im_GMK
BEST2	im_GMK
KIAA1324L	im_GMK
SLC41A1	im_GMK
KCNE4	im_GMK
TMEM30B	im_GMK
RPL6	im_GMK
LINC00963	im_GMK
TERF2IP	im_GMK
PTPRCAP	im_GMK
LGALS9C	im_GMK
ZNF275	im_GMK
PPP1R12B	im_GMK
PACS2	im_GMK
PHLDA1	im_GMK
TAPBPL	im_GMK
TMEM117	im_GMK
MSI2	im_GMK
LOC101926894	im_GMK
PTPN11	im_GMK
LRCH1	im_GMK
CCNYL1	im_GMK
BAIAP2L2	im_GMK
GIMAP1-GIMAP5	im_GMK
ARSJ	im_GMK
FRG1	im_GMK
WDR41	im_GMK
SMAP2	im_GMK
PCED1B	im_GMK
SLC38A1	im_GMK
KLHDC7B	im_GMK
WWTR1	im_GMK
LTV1	im_GMK
TCF7	im_GMK
ARPC5	im_GMK
DHRS9	im_GMK
C6orf48	im_GMK
ZNF700	im_GMK
P2RX4	im_GMK
ENPP5	im_GMK
AGPAT6	im_GMK
MGAT3	im_GMK
NUAK1	im_GMK
U2AF1	im_GMK
MYBPC3	im_GMK
ALPK1	im_GMK
ACTA2	im_GMK
RPLP2	im_GMK
GYG2	im_GMK
TMEM164	im_GMK
MCOLN3	im_GMK
CCDC144A	im_GMK
CDC42BPA	im_GMK
IVD	im_GMK
MPRIP	im_GMK
RBM10	im_GMK
TENM1	im_GMK
TMEM145	im_GMK
FHL2	im_GMK
AHSA2	im_GMK
MGAT4B	im_GMK
CRH	im_GMK
ZNF813	im_GMK
AFAP1L1	im_GMK
NDRG4	im_GMK
FOXN1	im_GMK
LCMT2	im_GMK
FOXP3	im_GMK
ANK2	im_GMK
ABHD14B	im_GMK
CDCP1	im_GMK
BBS9	im_GMK
FANCF	im_GMK
RYK	im_GMK
FAM171A1	im_GMK
RASGRF1	im_GMK
RAPGEF3	im_GMK
RRM2B	im_GMK
C9orf3	im_GMK
RPS23	im_GMK
C10orf2	im_GMK
BBC3	im_GMK
PDLIM1	im_GMK
IL4R	im_GMK
AMACR	im_GMK
RASGRF2	im_GMK
CD79A	im_GMK
ATP6V1F	im_GMK
RET	im_GMK
POU6F1	im_GMK
BTBD7	im_GMK
LOC254896	im_GMK
SLC9B2	im_GMK
RAB11FIP5	im_GMK
AQP10	im_GMK
RAB18	im_GMK
CEP250	im_GMK
STIP1	im_GMK
ERI2	im_GMK
FSHR	im_GMK
BCAR1	im_GMK
HMX3	im_GMK
CD28	im_GMK
LOC100653515	im_GMK
DMAP1	im_GMK
RGS3	im_GMK
TBL1X	im_GMK
RARG	im_GMK
ERP29	im_GMK
KRTAP9-4	im_GMK
NDUFA3	im_GMK
C14orf80	im_GMK
PRICKLE3	im_GMK
FGD4	im_GMK
EPB41L1	im_GMK
UBE3A	im_GMK
CYBB	im_GMK
KIF1B	im_GMK
ATP5J2-PTCD1	im_GMK
