Target id	Target name	P-value	FDR_BH	herb
HBTAR003761	SLC6A2	0.00162373160285915	0.0093131361666113	乌梅
HBTAR010493	ACP4	8.12226940176513e-09	1.68645877715125e-06	乌梅
HBTAR010938	RTP1	1.22773217484633e-09	3.40741577162857e-07	乌梅
HBTAR010984	PM20D2	7.6962207435662e-12	4.07247898691541e-09	乌梅
HBTAR000148	AKR1B1	1.75207882269254e-09	4.60326332636801e-07	乌梅
HBTAR000157	ALPL	0.00168579314584762	0.00952911456746726	乌梅
HBTAR002961	PGAM1	0.000409450386736356	0.00517358260604106	乌梅
HBTAR002055	IL6	3.15394667362417e-07	3.18102392427954e-05	乌梅
HBTAR002971	PGR	0.000705114778318659	0.00667726605327334	乌梅
HBTAR003294	PTGS1	1.50051504178517e-05	0.000621621847219138	乌梅
HBTAR003295	PTGS2	2.12024516336635e-05	0.000791185555211195	乌梅
HBTAR012560	Ppp1r18os	0.000843161859707122	0.00717525022938541	乌梅
HBTAR008317	DHTKD1	2.6642000998079e-11	1.23463227183681e-08	乌梅
HBTAR000517	CASP3	8.5263349396548e-10	2.49213062285456e-07	乌梅
HBTAR002850	SERPINE1	0.0015006244799572	0.00910509140465054	乌梅
HBTAR000010	ABAT	9.08836342726802e-06	0.000426307836126397	乌梅
HBTAR000138	ALDH2	0.000188723330050634	0.00343705294601409	乌梅
HBTAR000151	ALOX5	0.000108299208455587	0.00246771809731783	乌梅
HBTAR000173	AMY2A	0.000512685385797359	0.00578464588091912	乌梅
HBTAR000228	AQP4	0.000157473339503309	0.00310470950310116	乌梅
HBTAR000528	CAT	3.35493225532294e-05	0.00110711589009259	乌梅
HBTAR000927	CTSD	0.00112224066202857	0.00806226910409184	乌梅
HBTAR001006	ACE	0.0011246709687922	0.00806226910409184	乌梅
HBTAR001048	NQO1	3.03314519594528e-06	0.000185378820873292	乌梅
HBTAR001429	FOS	1.42013777381796e-06	0.000102489579015484	乌梅
HBTAR001464	G6PD	0.000460605682909828	0.0055650672662725	乌梅
HBTAR001516	GATM	0.000313282931081639	0.00458040361499738	乌梅
HBTAR001590	GLUL	0.000673782753628673	0.00650945237281565	乌梅
HBTAR001713	GSR	2.10078085115073e-05	0.000787336432823028	乌梅
HBTAR001719	GSTM1	9.62866544465852e-05	0.00228600863755322	乌梅
HBTAR001724	GSTP1	9.03791037479049e-05	0.00218359368928751	乌梅
HBTAR001795	HDC	0.000268977117353971	0.0042121916080774	乌梅
HBTAR001851	HMOX1	3.32828672466039e-05	0.00110073325274129	乌梅
HBTAR002064	IL10	1.06949540961875e-05	0.000479549818405563	乌梅
HBTAR002445	ME1	0.000597636822931442	0.00625340665668333	乌梅
HBTAR002509	MMP3	0.000149320617899091	0.00302020235793562	乌梅
HBTAR002535	MPO	6.4342358660345e-05	0.00175963499833588	乌梅
HBTAR002737	NOS2	1.00503374031595e-06	7.85099516691305e-05	乌梅
HBTAR002964	PGD	3.05726449753734e-06	0.000186624400566863	乌梅
HBTAR003101	POR	0.000603883815476111	0.00625340665668333	乌梅
HBTAR003287	PTGER3	3.86084867093406e-06	0.000222756778363722	乌梅
HBTAR003434	RELA	1.35912613233317e-09	3.69451864530626e-07	乌梅
HBTAR003849	SOD1	8.65303835953139e-06	0.00040971380837275	乌梅
HBTAR004140	TNF	6.67344377541374e-05	0.00180629092747121	乌梅
HBTAR004356	XDH	0.0016658096302437	0.00946157870804025	乌梅
HBTAR005539	HS3ST3A1	4.52379183613688e-05	0.00136540868956285	乌梅
HBTAR007656	THEM6	7.52598453621184e-05	0.00197675677610787	乌梅
HBTAR008713	CPA6	0.000490451045224116	0.00561149334767233	乌梅
HBTAR010528	Mod2	4.42508788420324e-05	0.00134104153473999	乌梅
HBTAR010530	Sod1m	2.26738738187445e-05	0.000830744012285201	乌梅
HBTAR010647	NOSTRIN	5.69948144632004e-09	1.26610821419292e-06	乌梅
HBTAR012515	Ptges3-ps	1.28109818194299e-08	2.4619367902795e-06	乌梅
HBTAR012597	Oaz2-ps	0.000268977117353971	0.0042121916080774	乌梅
HBTAR012603	TP53COR1	5.55866730727072e-07	4.94542698273516e-05	乌梅
HBTAR012609	Cox20b	0.000105701569614329	0.00242072855211102	乌梅
HBTAR000948	CYP1A1	4.49110160972193e-05	0.00135782527719296	乌梅
