From	To
CAH2_HUMAN	CA2
HCK_HUMAN	HCK
ESR1_HUMAN	ESR1
CAH1_HUMAN	CA1
CHLE_HUMAN	BCHE
THRB_HUMAN	F2
ANDR_HUMAN	AR
PRGR_HUMAN	PGR
P00390	GSR
CDK6_HUMAN	CDK6
APOA2_HUMAN	APOA2
STS_HUMAN	STS
ALBU_HUMAN	ALB
P11511	CYP19A1
CCNA2_HUMAN	CCNA2
BACE1_HUMAN	BACE1
P24941	CDK2
NOS3_HUMAN	NOS3
EPHB4_HUMAN	EPHB4
P62508	ESRRG
P14061	HSD17B1
ANGI_HUMAN	ANG
P35968	KDR
O15382	BCAT2
ESR2_HUMAN	ESR2
DUS6_HUMAN	DUSP6
P11586	MTHFD1
ALDR_HUMAN	AKR1B1
PDPK1_HUMAN	PDPK1
P06737	PYGL
SHBG_HUMAN	SHBG
TTHY_HUMAN	TTR
NQO1_HUMAN	NQO1
ADA17_HUMAN	ADAM17
PDE4D_HUMAN	PDE4D
ADHX_HUMAN	ADH5
HS90A_HUMAN	HSP90AA1
DYR_HUMAN	DHFR
DHSO_HUMAN	SORD
LKHA4_HUMAN	LTA4H
KIF11_HUMAN	KIF11
MCR_HUMAN	NR3C2
DCK_HUMAN	DCK
CHK1_HUMAN	CHEK1
P54577	YARS1
P35558	PCK1
Q16539	MAPK14
PDE4B_HUMAN	PDE4B
P49841	GSK3B
MMP12_HUMAN	MMP12
PTN11_HUMAN	PTPN11
CTNA1_HUMAN	CTNNA1
PTN1_HUMAN	PTPN1
SAHH_HUMAN	AHCY
P78536	ADAM17
MMP8_HUMAN	MMP8
HYES_HUMAN	EPHX2
ALDH2_HUMAN	ALDH2
HXK1_HUMAN	HK1
CCNT1_HUMAN	CCNT1
IMDH2_HUMAN	IMPDH2
PDE5A_HUMAN	PDE5A
AK1C3_HUMAN	AKR1C3
ISG20_HUMAN	ISG20
PDE3B_HUMAN	PDE3B
P05451	REG1A
P11177	PDHB
CBR1_HUMAN	CBR1
P05981	HPN
P04179	SOD2
EGFR_HUMAN	EGFR
MMP3_HUMAN	MMP3
P16442	ABO
MMP13_HUMAN	MMP13
JAK3_HUMAN	JAK3
LCK_HUMAN	LCK
TGFR1_HUMAN	TGFBR1
Q9BZX2	UCK2
FA10_HUMAN	F10
GSTP1_HUMAN	GSTP1
P11172	UMPS
Q08881	ITK
NR1H2_HUMAN	NR1H2
Q9NY01	ABO
CP2C9_HUMAN	CYP2C9
P10828	THRB
HDAC8_HUMAN	HDAC8
CD1A_HUMAN	CD1A
INSR_HUMAN	INSR
ERBB4_HUMAN	ERBB4
BST1_HUMAN	BST1
TYSY_HUMAN	TYMS
A1AT_HUMAN	SERPINA1
Q07960	ARHGAP1
P14555	PLA2G2A
P49354	FNTA
DPP4_HUMAN	DPP4
GLYC_HUMAN	SHMT1
P49789	FHIT
LEG2_HUMAN	LGALS2
CD5R1_HUMAN	CDK5R1
P07686	HEXB
ST1E1_HUMAN	SULT1E1
ZAP70_HUMAN	ZAP70
G6PI_HUMAN	GPI
P49137	MAPKAPK2
NR1H4_HUMAN	NR1H4
CATS_HUMAN	CTSS
GCR_HUMAN	NR3C1
FABP6_HUMAN	FABP6
P10827	THRA
NR1I2_HUMAN	NR1I2
CLK1_HUMAN	CLK1
GSTT2_HUMAN	GSTT2B
FKB1A_HUMAN	FKBP1A
VDR_HUMAN	VDR
P01343	IGF1
JAK2_HUMAN	JAK2
KIT_HUMAN	KIT
CATK_HUMAN	CTSK
MMP9_HUMAN	MMP9
HXK4_HUMAN	GCK
P98170	XIAP
Q9HAN9	NMNAT1
Q13231	CHIT1
PPARA_HUMAN	PPARA
ACADM_HUMAN	ACADM
GSTM2_HUMAN	GSTM2
Q93088	BHMT
P00519	ABL1
Q96CA5	BIRC7
P04183	TK1
P00480	OTC
P22830	FECH
Q9Y689	ARL5A
Q92947	GCDH
CD209_HUMAN	CD209
CMA1_HUMAN	CMA1
HMDH_HUMAN	HMGCR
TRYB2_HUMAN	TPSB2
RENI_HUMAN	REN
PUR2_HUMAN	GART
P06730	EIF4E
NEP_HUMAN	MME
O14717	TRDMT1
TIE2_HUMAN	TEK
GSTM1_HUMAN	GSTM1
P50135	HNMT
P00492	HPRT1
CASP1_HUMAN	CASP1
TGFB2_HUMAN	TGFB2
FKB1B_HUMAN	FKBP1B
FKBP3_HUMAN	FKBP3
FIBG_HUMAN	FGG
Q16836	HADH
Q96C86	DCPS
P00568	AK1
PIM1_HUMAN	PIM1
CFAB_HUMAN	CFB
