From	To
P11511	CYP19A1
P03372	ESR1
Q92731	ESR2
P14061	HSD17B1
P59538	TAS2R31
O43570	CA12
Q16678	CYP1B1
Q9UNQ0	ABCG2
P04278	SHBG
P27338	MAOB
P33527	ABCC1
P43166	CA7
P22748	CA4
P30542	ADORA1
P0DMS8	ADORA3
P16152	CBR1
P23219	PTGS1
P42330	AKR1C3
P04054	PLA2G1B
P45452	MMP13
P23141	CES1
P37231	PPARG
O00748	CES2
P31639	SLC5A2
P39900	MMP12
P06746	POLB
P14555	PLA2G2A
P39877	PLA2G5
O15496	PLA2G10
P56817	BACE1
P06870	KLK1
P20151	KLK2
P19793	RXRA
P41594	GRM5
Q14416	GRM2
P05121	SERPINE1
P36544	CHRNA7
P22303	ACHE
O75460	ERN1
P25101	EDNRA
P00918	CA2
P00915	CA1
P12931	SRC
P18054	ALOX12
P21397	MAOA
Q8IXJ6	SIRT2
P34995	PTGER1
P35408	PTGER4
P43116	PTGER2
P43115	PTGER3
P06276	BCHE
P49763	PGF
P15692	VEGFA
O14746	TERT
Q9UM73	ALK
P07900	HSP90AA1
P43235	CTSK
P37059	HSD17B2
O75582	RPS6KA5
Q96RI1	NR1H4
P08253	MMP2
P11387	TOP1
P41235	HNF4A
P35354	PTGS2
O76074	PDE5A
P50052	AGTR2
P50281	MMP14
P01375	TNF
P00533	EGFR
P03956	MMP1
P78536	ADAM17
P13497	BMP1
P22894	MMP8
P24864	CCNE1
P24941	CDK2
P04049	RAF1
P15056	BRAF
P43405	SYK
P08581	MET
P11388	TOP2A
O14965	AURKA
P35968	KDR
Q15118	PDK1
P14679	TYR
P09917	ALOX5
Q07820	MCL1
Q96GD4	AURKB
P05067	APP
Q09472	EP300
O14684	PTGES
Q9NR96	TLR9
Q9UNI1	CELA1
P48147	PREP
Q16236	NFE2L2
P08254	MMP3
P23946	CMA1
P09237	MMP7
Q13547	HDAC1
P62942	FKBP1A
Q9NRA0	SPHK2
Q9NYA1	SPHK1
P35372	OPRM1
P41143	OPRD1
P42336	PIK3CA
P08311	CTSG
P17538	CTRB1
P33316	DUT
P36888	FLT3
P30556	AGTR1
O14672	ADAM10
P08246	ELANE
Q15722	LTB4R
O15379	HDAC3
Q9UBN7	HDAC6
P12268	IMPDH2
P06239	LCK
O14757	CHEK1
P10415	BCL2
P05186	ALPL
P11150	LIPC
P51512	MMP16
P49721	PSMB2
Q16790	CA9
P28074	PSMB5
Q9Y5X9	LIPG
Q14680	MELK
P20839	IMPDH1
P00746	CFD
P08238	HSP90AB1
O96020	CCNE2
Q12852	MAP3K12
O00329	PIK3CD
Q9BY41	HDAC8
P14780	MMP9
P49354	FNTA
P49356	FNTB
P15144	ANPEP
P11309	PIM1
Q9P1W9	PIM2
P15121	AKR1B1
Q92769	HDAC2
P78396	CCNA1
P20248	CCNA2
P00519	ABL1
Q9Y263	PLAA
P14174	MIF
O00767	SCD
P53350	PLK1
P07949	RET
Q86V86	PIM3
P30304	CDC25A
P24385	CCND1
P11802	CDK4
P29274	ADORA2A
P49841	GSK3B
P28482	MAPK1
P00734	F2
O15120	AGPAT2
P46098	HTR3A
P30291	WEE1
P78527	PRKDC
P42338	PIK3CB
P08631	HCK
P48736	PIK3CG
P42892	ECE1
P30518	AVPR2
P17948	FLT1
Q13285	NR5A1
P07339	CTSD
P23443	RPS6KB1
Q9UQL6	HDAC5
Q8WUI4	HDAC7
P56524	HDAC4
Q9UKV0	HDAC9
Q969S8	HDAC10
Q15078	CDK5R1
Q00535	CDK5
P22607	FGFR3
P11362	FGFR1
P21802	FGFR2
Q05193	DNM1
O60341	KDM1A
P09874	PARP1
P20292	ALOX5AP
P06493	CDK1
P14635	CCNB1
P51452	DUSP3
Q9Y233	PDE10A
P37058	HSD17B3
P45983	MAPK8
P11940	PABPC1
Q9UNA0	ADAMTS5
O75116	ROCK2
P18031	PTPN1
P30305	CDC25B
O00141	SGK1
Q15746	MYLK
Q13464	ROCK1
P53667	LIMK1
P31749	AKT1
Q5VT25	CDC42BPA
Q07912	TNK2
Q09013	DMPK
Q14289	PTK2B
P50416	CPT1A
P09619	PDGFRB
Q16539	MAPK14
P30968	GNRHR
P14416	DRD2
P48039	MTNR1A
P49286	MTNR1B
P21728	DRD1
P16083	NQO2
P35462	DRD3
P28335	HTR2C
P07550	ADRB2
P13945	ADRB3
P07451	CA3
P14920	DAO
B2RXH2	KDM4E
P35228	NOS2
P23975	SLC6A2
P02144	MB
P51812	RPS6KA3
P23280	CA6
Q8N1Q1	CA13
Q9Y2D0	CA5B
P35218	CA5A
P41145	OPRK1
Q01959	SLC6A3
P0DMS9	TMIGD3
O15530	PDPK1
P05177	CYP1A2
P06213	INSR
P51649	ALDH5A1
P80404	ABAT
O60427	FADS1
P21918	DRD5
P21917	DRD4
P17612	PRKACA
P09417	QDPR
Q15149	PLEC
P48729	CSNK1A1
P48730	CSNK1D
P25024	CXCR1
P14902	IDO1
P18440	NAT1
P04818	TYMS
P54289	CACNA2D1
Q01650	SLC7A5
O75899	GABBR2
Q9UBS5	GABBR1
P06241	FYN
P25103	TACR1
P07101	TH
Q9H3R0	KDM4C
P08913	ADRA2A
P18089	ADRA2B
P35348	ADRA1A
Q96IY4	CPB2
P24046	GABRR1
Q07075	ENPEP
P15088	CPA3
P31645	SLC6A4
Q96RJ0	TAAR1
P46059	SLC15A1
P15086	CPB1
P42261	GRIA1
P12955	PEPD
P10827	THRA
P10828	THRB
P18433	PTPRA
P27695	APEX1
O15229	KMO
P49137	MAPKAPK2
P62993	GRB2
P52732	KIF11
Q14534	SQLE
P48449	LSS
P51449	RORC
Q12772	SREBF2
Q9UHC9	NPC1L1
P10275	AR
Q13133	NR1H3
