Target.id	Gene.symbol	Chromosome	Gene.name	Protein.name	Ensembl.id	UniProt.id	P_value	FDR.BH.	FDR.Bonferroni.	Relationship	Value	herb
SMTT00006	AANAT	None	aralkylamine N-acetyltransferase	Serotonin N-acetyltransferase	ENSG00000129673	Q16613	0.0466867	0.0880778	1	By_ingredient	0.1925	乌梅
SMTT00008	AARS2	6	Alanyl-tRNA Synthetase 2, Mitochondrial	Alanine--tRNA Ligase, Mitochondrial	ENSG00000124608	Q5JTZ9	0.0466867	0.0880778	1	By_ingredient	0.2094	乌梅
SMTT00010	ABAT	16	4-aminobutyrate Aminotransferase	4-aminobutyrate Aminotransferase, Mitochondrial	ENSG00000183044	P80404	0.000161096	0.00460822	1	By_ingredient	0.868	乌梅
SMTT00017	ABCB11	2	ATP Binding Cassette Subfamily B Member 11	Bile Salt Export Pump	ENSG00000073734	O95342	0.00318448	0.0302883	1	By_ingredient	0.2743	乌梅
SMTT00023	ABCC2	10	ATP Binding Cassette Subfamily C Member 2	Canalicular Multispecific Organic Anion Transporter 1	ENSG00000023839	Q92887	0.00962328	0.0269299	1	By_ingredient	0.3071	乌梅
SMTT00032	ABCG2	None	ATP binding cassette subfamily G member 2 (Junior blood group)	ATP-binding Cassette Sub-family G Member 2	ENSG00000118777	Q9UNQ0	0.012186	0.0295348	1	By_ingredient	0.1312	乌梅
SMTT00033	ABCG5	2	ATP Binding Cassette Subfamily G Member 5	None	ENSG00000138075	None	0.03137	0.0732233	1	By_ingredient	0.1622	乌梅
SMTT00034	ABCG8	2	ATP Binding Cassette Subfamily G Member 8	None	ENSG00000143921	None	0.0262104	0.0680322	1	By_ingredient	0.1603	乌梅
SMTT00038	ACACA	17	Acetyl-CoA Carboxylase Alpha	Acetyl-CoA Carboxylase 1	ENSG00000278540	Q13085	0.0101651	0.0269299	1	By_ingredient	0.1531	乌梅
SMTT00043	ACADSB	10	Acyl-CoA Dehydrogenase Short/branched Chain	Short/branched Chain Specific Acyl-CoA Dehydrogenase, Mitochondrial	ENSG00000196177	P45954	0.0365025	0.0781968	1	By_ingredient	0.1772	乌梅
SMTT00049	ACE	17	Angiotensin I Converting Enzyme	Angiotensin-converting Enzyme	ENSG00000159640	P12821	0.00359659	0.0317573	1	By_ingredient	0.377	乌梅
SMTT00050	ACE2	None	angiotensin I converting enzyme 2	Angiotensin-converting Enzyme 2	ENSG00000130234	Q9BYF1	0.041608	0.0831951	1	By_ingredient	0.1914	乌梅
SMTT00051	ACHE	None	acetylcholinesterase (Cartwright blood group)	Acetylcholinesterase	ENSG00000087085	P22303	1.83403e-09	4.06217e-07	0.000758407	By_ingredient	6.0181	乌梅
SMTT00052	ACO2	22	Aconitase 2	Aconitate Hydratase, Mitochondrial	ENSG00000100412	Q99798	0.03137	0.0732233	1	By_ingredient	0.1962	乌梅
SMTT00056	ACPP	None	acid phosphatase, prostate	Prostatic Acid Phosphatase	ENSG00000014257	P15309	0.0142029	0.0324091	1	By_ingredient	0.1648	乌梅
SMTT00057	ACSF3	16	Acyl-CoA Synthetase Family Member 3	None	ENSG00000176715	None	0.0105671	0.0485443	1	By_ingredient	0.2127	乌梅
SMTT00069	ACVR1	2	Activin A Receptor Type 1	Activin Receptor Type-1	ENSG00000115170	Q04771	0.0158091	0.0563531	1	By_ingredient	0.2019	乌梅
SMTT00072	ACY1	3	Aminoacylase 1	Aminoacylase-1	ENSG00000243989	Q03154	0.0365025	0.0781968	1	By_ingredient	0.1909	乌梅
SMTT00102	ADRA1A	None	adrenoceptor alpha 1A	Alpha-1A Adrenergic Receptor	ENSG00000120907	P35348	0.290912	0.320775	1	By_ingredient	0.7516	乌梅
SMTT00103	ADRA2A	None	adrenoceptor alpha 2A	Alpha-2A Adrenergic Receptor	ENSG00000150594	P08913	0.44262	0.474788	1	By_ingredient	0.7392	乌梅
SMTT00105	ADRB1	None	adrenoceptor beta 1	Beta-1 Adrenergic Receptor	ENSG00000043591	P08588	0.529931	0.561837	1	By_ingredient	0.8325	乌梅
SMTT00106	ADRB2	None	adrenoceptor beta 2	Beta-2 Adrenergic Receptor	ENSG00000169252	P07550	0.182494	0.209607	1	By_ingredient	1.4668	乌梅
SMTT00108	ADSL	22	Adenylosuccinate Lyase	None	ENSG00000239900	None	0.0158091	0.0563531	1	By_ingredient	0.2181	乌梅
SMTT00114	AGBL1	15	ATP/GTP Binding Protein Like 1	None	ENSG00000273540	None	0.041608	0.0831951	1	By_ingredient	0.2036	乌梅
SMTT00115	AGBL5	2	ATP/GTP Binding Protein Like 5	None	ENSG00000084693	None	0.041608	0.0831951	1	By_ingredient	0.203	乌梅
SMTT00125	AGXT	2	Alanine--glyoxylate And Serine--pyruvate Aminotransferase	Serine--pyruvate Aminotransferase	ENSG00000172482	P21549	0.0190542	0.0602821	1	By_ingredient	0.3472	乌梅
SMTT00129	AHR	None	aryl hydrocarbon receptor	Aryl Hydrocarbon Receptor	ENSG00000106546	P35869	4.33107e-06	0.000148789	0.382685	By_ingredient	0.4454	乌梅
SMTT00139	AKR1B1	None	aldo-keto reductase family 1 member B	Aldose Reductase	ENSG00000085662	P15121	5.2597e-09	1.03374e-06	0.00217499	By_ingredient	1.9325	乌梅
SMTT00140	AKR1C1	None	aldo-keto reductase family 1 member C1	Aldo-keto Reductase Family 1 Member C1	ENSG00000187134	Q04828	7.21778e-05	0.00258146	1	By_ingredient	0.7371	乌梅
SMTT00142	AKR1C3	None	aldo-keto reductase family 1 member C3	Aldo-keto Reductase Family 1 Member C3	ENSG00000196139	P42330	6.55722e-05	0.00242361	1	By_ingredient	0.7155	乌梅
SMTT00144	AKT1	14	AKT Serine/threonine Kinase 1	RAC-alpha Serine/threonine-protein Kinase	ENSG00000142208	P31749	6.3244e-05	0.00107004	1	By_ingredient	0.813	乌梅
SMTT00149	ALAS2	X	5'-aminolevulinate Synthase 2	5-aminolevulinate Synthase, Erythroid-specific, Mitochondrial	ENSG00000158578	P22557	0.0466867	0.0880778	1	By_ingredient	0.1875	乌梅
SMTT00150	ALB	4	Albumin	Serum Albumin	ENSG00000163631	P02768	0.00962328	0.0469112	1	By_ingredient	0.3677	乌梅
SMTT00152	ALDH1A3	15	Aldehyde Dehydrogenase 1 Family Member A3	Aldehyde Dehydrogenase Family 1 Member A3	ENSG00000184254	P47895	0.00177595	0.0223639	1	By_ingredient	0.3966	乌梅
SMTT00153	ALDH2	12	Aldehyde Dehydrogenase 2 Family Member	Aldehyde Dehydrogenase, Mitochondrial	ENSG00000111275	P05091	0.000480488	0.00973356	1	By_ingredient	0.5784	乌梅
