ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment	class	class2
hsa04660	T cell receptor signaling pathway	17	-0.815106731550045	-2.92499977613977	1.69980080696164e-10	2.0737569844932e-08	1.57455232644868e-08	125	tags=71%, list=8%, signal=66%	RASGRP1/CD8A/CD28/ZAP70/ITK/CARD11/GRAP2/PRKCQ/CD3E/CD3G/CD247/CD8B	KEGG	imDC
hsa04658	Th1 and Th2 cell differentiation	16	-0.740939204671355	-2.61328179317623	7.8255623092682e-07	4.7735930086536e-05	3.62447096429264e-05	187	tags=75%, list=12%, signal=67%	LCK/IL12RB1/IL4R/JAK3/IL2RA/ZAP70/STAT4/IL2RB/PRKCQ/CD3E/CD3G/CD247	KEGG	imDC
hsa04659	Th17 cell differentiation	18	-0.699467003899727	-2.58735313639568	2.43643487007675e-06	9.90816847164547e-05	7.52302696725454e-05	187	tags=61%, list=12%, signal=55%	IL12RB1/IL4R/JAK3/IL2RA/ZAP70/FOXP3/IL2RB/PRKCQ/CD3E/CD3G/CD247	KEGG	imDC
hsa04650	Natural killer cell mediated cytotoxicity	16	-0.713781388099052	-2.51749656930985	4.97651964820731e-06	0.000151783849270323	0.000115245718169011	95	tags=56%, list=6%, signal=53%	KIR2DS2/KIR2DL2/ZAP70/PRF1/KLRC3/KIR3DL2/SH2D1A/NCR3/CD247	KEGG	imDC
hsa04612	Antigen processing and presentation	10	-0.792505105032827	-2.40327015613738	1.0068419325756e-05	0.000245669431548446	0.000186530715929795	152	tags=70%, list=9%, signal=64%	HSPA1L/KIR2DS2/CD8A/KIR2DL2/KLRC3/KIR3DL2/CD8B	KEGG	imDC
hsa04060	Cytokine-cytokine receptor interaction	40	-0.516999070806143	-2.35477301385146	2.29136930001567e-05	0.000465911757669852	0.000353755260353296	187	tags=42%, list=12%, signal=39%	IL12RB1/CXCR6/LTA/IL4R/AMH/CCL28/CXCR3/IL15RA/TNFRSF25/GDF11/IL2RA/GDF10/IL18R1/IL2RB/CCL5/CCR7/IL32	KEGG	imDC
hsa04061	Viral protein interaction with cytokine and cytokine receptor	11	-0.745698743838128	-2.32232125009208	4.08274759122142e-05	0.000711564580184305	0.000540273365454865	168	tags=73%, list=10%, signal=66%	LTA/CCL28/CXCR3/IL2RA/IL18R1/IL2RB/CCL5/CCR7	KEGG	imDC
hsa04145	Phagosome	19	0.597163699063831	2.35523441037887	5.18483977857329e-05	0.000790688066232427	0.00060034986909796	271	tags=58%, list=17%, signal=49%	TFRC/CYBB/ITGB2/ITGB5/CD36/ATP6V1H/TLR2/ATP6V1D/NOS1/CLEC7A/SFTPA2	KEGG	imDC
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	12	-0.719600425533014	-2.2992391232512	0.000100361105373748	0.0013604505395108	0.00103295640618594	125	tags=58%, list=8%, signal=54%	RASGRP1/CD28/ZAP70/PRKCQ/CD3E/CD3G/CD247	KEGG	imDC
hsa04640	Hematopoietic cell lineage	18	-0.625237680264387	-2.31277624820846	0.000184257047082601	0.00224793597440773	0.00170680212034409	81	tags=56%, list=5%, signal=53%	IL4R/CD8A/IL2RA/KIT/CD5/CD3E/CD3G/FLT3LG/CD7/CD8B	KEGG	imDC
