ID	Term	Database	Input.a	Input.b	Input.c	Input.d	Pfisher	Pfisher_bon	Source
hsa04657	IL-17 signaling pathway	KEGG PATHWAY	TRAF3|IL13|NFKBIA|TNFAIP3	RELA|TRAF4|JUND|TNFAIP3	IKBKB|HSP90AA1|TNF|CHUK|CASP8	CXCL5|IL17B|LCN2|FADD|S100A8|MMP9|CXCL10|IL1B|MMP13|MMP3	2.37928250017783e-19	4.99554153737338e-15	turquoise
hsa04668	TNF signaling pathway	KEGG PATHWAY	TRAF3|NFKBIA|IL18R1|TNFAIP3	BCL3|RELA|MAP3K8|PIK3R1|TNFAIP3	IKBKB|TNF|CHUK|CASP8|IL18R1	FIGF|CXCL5|TNFRSF1B|TNFRSF1A|FADD|CCL5|MMP9|CXCL10|IL1B|MMP3	8.26726209307219e-19	1.73579434906144e-14	turquoise
hsa04064	NF-kappa B signaling pathway	KEGG PATHWAY	TRAF3|CARD11|NFKBIA|TNFRSF11A|TNFAIP3	RELA|TNFAIP3	ATM|CHUK|IKBKB|TNF|ZAP70|PRKCQ|LCK	TNFSF14|TNFRSF1A|CD40|EDAR|CCL21|IL1B|LYN|IL1R1	8.21981667800918e-18	1.72583270971481e-13	turquoise
hsa04658	Th1 and Th2 cell differentiation	KEGG PATHWAY	IL2RA|HLA-DRB1|NFKBIA|STAT6|IL13|RUNX3|CD247|HLA-DQA1	RELA|CD3D	CHUK|IKBKB|JAK3|PRKCQ|LCK|ZAP70	IL2RB|IL4R|IL12A|IL2RG	5.10011712872265e-16	1.07082059234661e-11	turquoise
hsa04062	Chemokine signaling pathway	KEGG PATHWAY	NFKBIA|GNGT2|CCR7	RELA|PRKACB|PIK3R1|CXCR4	SRC|PTK2|ITK|CHUK|IKBKB|JAK3	CCL1|CXCL5|ITK|CCL5|CCL14|PPBP|CCR3|PF4|CCL21|CXCL10|CXCL13|LYN	7.41128725669328e-16	1.55607387241532e-11	turquoise
hsa04380	Osteoclast differentiation	KEGG PATHWAY	NFKBIA|TNFRSF11A|CAMK4	RELA|JUND|PIK3R1|FOSL2	TGFBR2|TGFBR1|CHUK|IKBKB|PPARG|TNF|LCK	IL1B|CSF1R|IL1R1|TNFRSF1A	1.49908895662163e-11	3.14748717332277e-07	turquoise
hsa04620	Toll-like receptor signaling pathway	KEGG PATHWAY	TRAF3|NFKBIA|TLR1|CD86	RELA|MAP3K8|PIK3R1	IKBKB|TNF|CHUK|CASP8	CCL5|CD40|IL12A|FADD|CXCL10|IL1B	2.61629590849273e-11	5.49317488947133e-07	turquoise
hsa04621	NOD-like receptor signaling pathway	KEGG PATHWAY	TRAF3|NFKBIA|TNFAIP3	GABARAPL1|CASP1|ATG16L1|NAMPT|TNFAIP3|RELA	IKBKB|HSP90AA1|TNF|CHUK|CASP8	IL1B|CCL5|DEFA3|CCK|FADD	5.74133965666984e-10	1.2054516743144e-05	turquoise
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	Reactome	IL13|STAT6|ALOX15|BCL6|IL6R	CDKN1A|BCL6|PIK3R1	TP53|PIM1|TNF|JAK3|HSP90AA1|F13A1	TNFRSF1B|IL4R|FN1|IL2RG|LCN2|CD36|IL6R|IL12A|MMP9|IL1B|MMP3	1.13938410967931e-20	2.39225087668269e-16	turquoise
R-HSA-446652	Interleukin-1 family signaling	Reactome	NFKBIA|IL1RL1|IL18RAP|IL13|IL18R1|SMAD3	RELA|MAP3K8|CASP1	IL1RN|PTPN11|CHUK|CTSG|IKBKB|IL18R1	IL1RL1|IL1RL2|CCK|IL1B|IL1R1|S100B	1.37656988545697e-13	2.89024613150545e-09	turquoise
R-HSA-199418	Negative regulation of the PI3K/AKT network	Reactome	PPP2R1B|THEM4|IL1RL1|CD86	AREG|IRS2|PIK3R1	SRC|PTPN11|LCK|KIT	PDGFRB|PDGFRA|IL1RL1|BTC|NRG1|FGF4	8.42301347101745e-12	1.76849590837482e-07	turquoise
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Reactome	PPP2R1B|IL1RL1|CD86	AREG|IRS2|PIK3R1	SRC|PTPN11|LCK|KIT	PDGFRB|PDGFRA|IL1RL1|BTC|NRG1|FGF4	2.68992618020542e-11	5.64776900795929e-07	turquoise
R-HSA-388841	Costimulation by the CD28 family	Reactome	PPP2R1B|THEM4|HLA-DRB1|CD86|TNFRSF14|HLA-DQA1	MAP3K8|CD3D|PIK3R1	PTPN11|LCK	CTLA4|LYN	9.32938417830404e-10	1.95879750207672e-05	turquoise
