##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Signal Transduction	Reactome	R-HSA-162582	45	2689	2.42211787793e-24	6.44283355529e-21	WNT3A|PTK2|SRC|CCRL2|IKBKB|LCK|PDE3B|ALDH1A1|ALDH1A2|FURIN|ADORA2A|ADORA2B|RARG|PTGER3|RGS1|HSD17B1|KDR|JAK3|TGFBR2|TGFBR1|CALCRL|OXT|CHRM3|CHRM2|CHRM1|PLAT|PPARG|CHUK|TNF|RBP4|HSP90AA1|PRKCQ|MDM2|TP53|PTPN11|PPARD|CASP8|KIT|ADRB2|ADH1A|FKBP1A|MMP7|PDE4D|TFDP2|GLP2R	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Metabolism	Reactome	R-HSA-1430728	32	2075	6.11176139733e-16	5.41909510563e-13	PTGS1|POR|GGT5|EPHX2|LDHAL6A|FABP4|BCHE|SLC5A5|ALDH1A1|SCD|HS3ST3A1|IMPDH1|HSP90AA1|RRM2B|DIO1|HSD17B1|GLTP|CHRM3|PPARG|PPARD|CTRB1|RBP4|HAO1|GART|CYP1A2|DHODH|PRODH|CBS|HDC|ADH1A|ME1|MINPP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728
Metabolic pathways	KEGG PATHWAY	hsa01100	27	1433	1.69019673608e-15	1.12398082949e-12	PTGS1|GSR|GGT5|EPHX2|LDHAL6A|MAN1B1|HDC|ABAT|ALDH1A1|ALDH1A2|SCD|IMPDH1|PDE3B|RRM2B|HSD17B1|HMGCR|HAO1|GART|CYP1A2|DHODH|PRODH|CBS|ADH1A|ME1|MINPP1|PDE4D|AMY1C	http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:5144%09red/hsa:5140%09red/hsa:9562%09red/hsa:50484%09red/hsa:278%09red/hsa:1544%09red/hsa:216%09red/hsa:1723%09red/hsa:2687%09red/hsa:6319%09red/hsa:5625%09red/hsa:8854%09red/hsa:3067%09red/hsa:102724560%09red/hsa:124%09red/hsa:3614%09red/hsa:3292%09red/hsa:54363%09red/hsa:2936%09red/hsa:18%09red/hsa:3156%09red/hsa:160287%09red/hsa:2053%09red/hsa:5742%09red/hsa:2618%09red/hsa:4199%09red/hsa:11253%09red
Pathways in cancer	KEGG PATHWAY	hsa05200	17	530	1.54675157903e-13	6.85726533369e-11	WNT3A|TGFBR2|TGFBR1|PTK2|TP53|PIM1|CHUK|CASP8|PTGER3|IKBKB|PPARG|PPARD|JAK3|HSP90AA1|MDM2|KIT|FGFR1	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:3551%09red/hsa:3320%09red/hsa:3718%09red/hsa:841%09red/hsa:89780%09red/hsa:3815%09red/hsa:5292%09red/hsa:5747%09red/hsa:7157%09red/hsa:1147%09red/hsa:7046%09red/hsa:2260%09red/hsa:4193%09red/hsa:5733%09red/hsa:5467%09red/hsa:5468%09red/hsa:7048%09red
Signaling by Interleukins	Reactome	R-HSA-449147	17	619	1.71147866862e-12	4.51975216553e-10	IL1RN|PTK2|TP53|PIM1|IL18R1|CHUK|SRC|KIT|IKBKB|TNF|JAK3|F13A1|HSP90AA1|PDE3B|PTPN11|CTSG|LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Immune System	Reactome	R-HSA-168256	28	2096	1.86907044439e-12	4.51975216553e-10	TRIM11|CRP|PTK2|TRIM17|IKBKB|KRT1|KIF11|F13A1|IMPDH1|PDE3B|ZAP70|JAK3|SRC|PIM1|IL18R1|CHUK|TNF|PRKCQ|CTSG|IL1RN|TP53|ITK|PTPN11|CASP8|KIT|FKBP1A|HSP90AA1|LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
Disease	Reactome	R-HSA-1643685	20	1049	1.03065606448e-11	2.1088808704e-09	WNT3A|SLC6A3|TGFBR1|SLC6A2|TGFBR2|PTPN11|SLC5A7|CHUK|SRC|KIT|IKBKB|RBP4|SLC5A5|MAN1B1|FKBP1A|HSP90AA1|MDM2|FGFR1|LCK|FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	18	836	1.81995618033e-11	3.22738895978e-09	IL1RN|PTK2|TP53|TRIM17|PIM1|IL18R1|CHUK|SRC|KIT|IKBKB|TNF|JAK3|F13A1|HSP90AA1|PDE3B|PTPN11|CTSG|LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	13	354	2.68855079059e-11	4.20679123704e-09	EPHA2|PTK2|TP53|CHRM2|CHRM1|KIT|IKBKB|CHUK|JAK3|HSP90AA1|MDM2|KDR|FGFR1	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:3551%09red/hsa:3320%09red/hsa:3718%09red/hsa:3815%09red/hsa:5747%09red/hsa:7157%09red/hsa:1147%09red/hsa:1128%09red/hsa:3791%09red/hsa:1129%09red/hsa:2260%09red/hsa:4193%09red/hsa:1969%09red
Th17 cell differentiation	KEGG PATHWAY	hsa04659	9	107	3.45116150773e-11	5.10004978365e-09	TGFBR2|TGFBR1|CHUK|IKBKB|ZAP70|PRKCQ|HSP90AA1|LCK|JAK3	http://www.genome.jp/kegg-bin/show_pathway?hsa04659/hsa:3551%09red/hsa:3320%09red/hsa:3718%09red/hsa:7535%09red/hsa:3932%09red/hsa:5588%09red/hsa:1147%09red/hsa:7046%09red/hsa:7048%09red
Diseases of signal transduction	Reactome	R-HSA-5663202	13	374	5.18327327726e-11	7.25658258816e-09	WNT3A|TGFBR2|TGFBR1|SRC|PTPN11|CHUK|KIT|RBP4|FKBP1A|HSP90AA1|MDM2|LCK|FGFR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663202
Fluid shear stress and atherosclerosis	KEGG PATHWAY	hsa05418	9	139	3.08663670515e-10	3.4210223482e-08	SRC|PTK2|TP53|CHUK|PLAT|IKBKB|TNF|HSP90AA1|KDR	http://www.genome.jp/kegg-bin/show_pathway?hsa05418/hsa:3551%09red/hsa:3320%09red/hsa:5327%09red/hsa:7124%09red/hsa:5747%09red/hsa:7157%09red/hsa:1147%09red/hsa:3791%09red/hsa:6714%09red
Signaling by GPCR	Reactome	R-HSA-372790	19	1170	5.07860178164e-10	5.19580028429e-08	WNT3A|SRC|ADORA2B|CALCRL|OXT|CHRM3|CHRM2|CHRM1|PTGER3|CCRL2|ADRB2|RBP4|RGS1|HSD17B1|PRKCQ|ADORA2A|PDE3B|PDE4D|GLP2R	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-372790
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	hsa05166	10	219	7.85226742436e-10	7.73593753659e-08	TGFBR2|TGFBR1|TP53|ATM|CHUK|IKBKB|TNF|JAK3|MMP7|LCK	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:3551%09red/hsa:3718%09red/hsa:3932%09red/hsa:7124%09red/hsa:4316%09red/hsa:7157%09red/hsa:1147%09red/hsa:7046%09red/hsa:472%09red/hsa:7048%09red
