##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	26	836	4.85829644305e-16	4.99432874346e-13	IL7R|PPP2R1B|IL1RL1|HLA-C|HLA-B|NFKBIA|SMAD3|ALOX15|TSLP|IQGAP1|STAT6|THEM4|IL18RAP|CD86|TRAF3|HLA-DRB1|IL18R1|IL6R|TNFRSF11A|RASA2|IL2RA|INPP5D|IL13|TNFRSF14|BCL6|HLA-DQA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Immune System	Reactome	R-HSA-168256	37	2096	7.3829759776e-15	5.05979953665e-12	IL7R|PPP2R1B|IL1RL1|HLA-C|HLA-B|NFKBIA|SMAD3|TNFRSF14|TNFAIP3|TSLP|IQGAP1|POLR3H|STAT6|FCER1G|THEM4|IL18RAP|CD86|FBXW2|TRAF3|CARD11|HLA-DRB1|IL18R1|IL6R|TNFRSF11A|INPP5D|PA2G4|RASA2|IL2RA|RAB24|ORMDL3|IL13|ALOX15|GLB1|TLR1|ACTR1A|BCL6|HLA-DQA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
Signaling by Interleukins	Reactome	R-HSA-449147	19	619	7.15179460199e-12	3.67602242542e-09	IL7R|IL2RA|PPP2R1B|BCL6|INPP5D|IL1RL1|IL18RAP|STAT6|IL13|IL18R1|NFKBIA|IL6R|CD86|ALOX15|THEM4|TSLP|SMAD3|IQGAP1|RASA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Th1 and Th2 cell differentiation	KEGG PATHWAY	hsa04658	8	92	5.6216543613e-09	1.44476517085e-06	IL2RA|HLA-DRB1|NFKBIA|STAT6|IL13|RUNX3|CD247|HLA-DQA1	http://www.genome.jp/kegg-bin/show_pathway?hsa04658/hsa:919%09red/hsa:3596%09red/hsa:3559%09red/hsa:4792%09red/hsa:6778%09red/hsa:864%09red/hsa:3117%09red/hsa:3123%09red
Inflammatory bowel disease (IBD)	KEGG PATHWAY	hsa05321	7	65	1.32233850413e-08	2.71872796449e-06	STAT6|IL13|IL18RAP|HLA-DRB1|IL18R1|SMAD3|HLA-DQA1	http://www.genome.jp/kegg-bin/show_pathway?hsa05321/hsa:3596%09red/hsa:4088%09red/hsa:8809%09red/hsa:6778%09red/hsa:3117%09red/hsa:3123%09red/hsa:8807%09red
Th17 cell differentiation	KEGG PATHWAY	hsa04659	8	107	1.70187000271e-08	3.18094975052e-06	IL2RA|HLA-DRB1|STAT6|NFKBIA|IL6R|CD247|SMAD3|HLA-DQA1	http://www.genome.jp/kegg-bin/show_pathway?hsa04659/hsa:919%09red/hsa:3117%09red/hsa:3559%09red/hsa:3570%09red/hsa:4792%09red/hsa:6778%09red/hsa:4088%09red/hsa:3123%09red
Cytokine-cytokine receptor interaction	KEGG PATHWAY	hsa04060	11	294	3.29058926743e-08	5.6378762782e-06	IL7R|IL2RA|IL13|IL1RL1|IL18RAP|CCR7|IL18R1|IL6R|TNFRSF14|TNFRSF11A|TSLP	http://www.genome.jp/kegg-bin/show_pathway?hsa04060/hsa:8809%09red/hsa:1236%09red/hsa:8807%09red/hsa:8764%09red/hsa:8792%09red/hsa:3570%09red/hsa:3575%09red/hsa:3559%09red/hsa:3596%09red/hsa:85480%09red/hsa:9173%09red
Epstein-Barr virus infection	KEGG PATHWAY	hsa05169	9	201	1.42050916447e-07	2.24658987857e-05	HLA-DRB1|TRAF3|HLA-C|HLA-B|NFKBIA|TNFAIP3|RUNX3|CD247|HLA-DQA1	http://www.genome.jp/kegg-bin/show_pathway?hsa05169/hsa:919%09red/hsa:7128%09red/hsa:4792%09red/hsa:864%09red/hsa:3117%09red/hsa:3106%09red/hsa:3107%09red/hsa:3123%09red/hsa:7187%09red
Costimulation by the CD28 family	Reactome	R-HSA-388841	6	65	3.47882877719e-07	4.76831464393e-05	PPP2R1B|THEM4|HLA-DRB1|CD86|TNFRSF14|HLA-DQA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388841
Allograft rejection	KEGG PATHWAY	hsa05330	5	38	6.84410843114e-07	8.27734525554e-05	HLA-C|HLA-B|HLA-DRB1|HLA-DQA1|CD86	http://www.genome.jp/kegg-bin/show_pathway?hsa05330/hsa:3106%09red/hsa:3107%09red/hsa:3123%09red/hsa:3117%09red/hsa:942%09red
