##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Metallothioneins bind metals	Reactome	R-HSA-5661231	4	11	8.04936761899e-10	1.86745328761e-07	MT2A|MT1G|MT1X|MT1E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5661231
Response to metal ions	Reactome	R-HSA-5660526	4	14	1.8009477185e-09	2.98075151114e-07	MT2A|MT1G|MT1X|MT1E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5660526
Mineral absorption	KEGG PATHWAY	hsa04978	5	53	2.14134447639e-09	2.98075151114e-07	MT1X|MT2A|MT1G|SLC30A1|MT1E	http://www.genome.jp/kegg-bin/show_pathway?hsa04978/hsa:7779%09red/hsa:4495%09red/hsa:4501%09red/hsa:4493%09red/hsa:4502%09red
Cellular responses to external stimuli	Reactome	R-HSA-8953897	6	516	7.43181808603e-06	0.000470231398898	HSPA2|MT2A|CDKN1A|MT1E|MT1X|MT1G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953897
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	7	836	9.92451656567e-06	0.000575621960809	MT2A|DTL|CDKN1A|MMP9|DUSP5|CCL20|IL17RB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Signal Transduction	Reactome	R-HSA-162582	11	2689	1.90513700124e-05	0.000883983568577	RGS16|PTGDR2|OMG|GALR2|CDKN1A|NR4A1|CDC20|DUSP5|MMP9|PTGDR|CCL20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Prostanoid ligand receptors	Reactome	R-HSA-391908	2	9	4.46833314859e-05	0.00163682098496	PTGDR|PTGDR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-391908
Immune System	Reactome	R-HSA-168256	9	2096	9.02067644114e-05	0.00298970990621	MT2A|DTL|CDKN1A|CDC20|CTSZ|MMP9|DUSP5|CCL20|IL17RB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
IL-17 signaling pathway	KEGG PATHWAY	hsa04657	3	93	9.52590781328e-05	0.00301365083547	CCL20|IL17RB|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa04657/hsa:6364%09red/hsa:4318%09red/hsa:55540%09red
Eicosanoid ligand-binding receptors	Reactome	R-HSA-391903	2	15	0.000110107906787	0.00306540412496	PTGDR|PTGDR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-391903
Class A/1 (Rhodopsin-like receptors)	Reactome	R-HSA-373076	4	322	0.000222483956903	0.00573514200017	PTGDR|CCL20|PTGDR2|GALR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373076
Signaling by Interleukins	Reactome	R-HSA-449147	5	619	0.000249763028833	0.00599431269199	DUSP5|CCL20|CDKN1A|IL17RB|MMP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Constitutive Signaling by AKT1 E17K in Cancer	Reactome	R-HSA-5674400	2	25	0.000282541569969	0.006343513958	CDKN1A|NR4A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5674400
G alpha (i) signalling events	Reactome	R-HSA-418594	4	405	0.000524217671491	0.00976274821687	RGS16|CCL20|PTGDR2|GALR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418594
Nuclear Receptor transcription pathway	Reactome	R-HSA-383280	2	40	0.000687106981542	0.0116573432163	NR2F6|NR4A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-383280
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	3	186	0.00069641008549	0.0116573432163	NR4A3|CDKN1A|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:1026%09red/hsa:4318%09red/hsa:8013%09red
Bladder cancer	KEGG PATHWAY	hsa05219	2	41	0.000720209422849	0.0116573432163	CDKN1A|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa05219/hsa:1026%09red/hsa:4318%09red
GPCR ligand binding	Reactome	R-HSA-500792	4	454	0.000799712321243	0.0120999951214	PTGDR|CCL20|PTGDR2|GALR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-500792
Cytokine-cytokine receptor interaction	KEGG PATHWAY	hsa04060	3	294	0.00254021393434	0.0330527900894	CCL20|IL17RB|DTL	http://www.genome.jp/kegg-bin/show_pathway?hsa04060/hsa:6364%09red/hsa:55540%09red/hsa:10673%09red
MAPK signaling pathway	KEGG PATHWAY	hsa04010	3	295	0.00256444061038	0.0330527900894	DUSP5|HSPA2|NR4A1	http://www.genome.jp/kegg-bin/show_pathway?hsa04010/hsa:3164%09red/hsa:3306%09red/hsa:1847%09red
PI3K/AKT Signaling in Cancer	Reactome	R-HSA-2219528	2	88	0.00310907528822	0.0393439345563	CDKN1A|NR4A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2219528
GPCR downstream signalling	Reactome	R-HSA-388396	5	1108	0.00329051848338	0.0404813875337	PTGDR|CCL20|PTGDR2|RGS16|GALR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388396
Rheumatoid arthritis	KEGG PATHWAY	hsa05323	2	91	0.00331528604802	0.0404813875337	CCL20|DTL	http://www.genome.jp/kegg-bin/show_pathway?hsa05323/hsa:6364%09red/hsa:10673%09red
Prostate cancer	KEGG PATHWAY	hsa05215	2	97	0.00374640636847	0.0441948954654	CDKN1A|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa05215/hsa:1026%09red/hsa:4318%09red
Endocrine resistance	KEGG PATHWAY	hsa01522	2	98	0.00382066903737	0.0443197608335	CDKN1A|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa01522/hsa:1026%09red/hsa:4318%09red
Signaling by GPCR	Reactome	R-HSA-372790	5	1170	0.00414431767194	0.0465233080592	PTGDR|CCL20|PTGDR2|RGS16|GALR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-372790
Generic Transcription Pathway	Reactome	R-HSA-212436	5	1193	0.00449823088999	0.0481677206969	NR2F6|NR4A3|CDKN1A|NR4A1|ZNF442	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
Interleukin-4 and Interleukin-13 signaling	Reactome	R-HSA-6785807	2	108	0.00460076737103	0.0481677206969	CDKN1A|MMP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785807
TNF signaling pathway	KEGG PATHWAY	hsa04668	2	112	0.0049317098357	0.0481677206969	CCL20|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa04668/hsa:6364%09red/hsa:4318%09red
TFAP2 (AP-2) family regulates transcription of cell cycle factors	Reactome	R-HSA-8866911	1	5	0.00548674597398	0.0481677206969	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866911
Cell cycle	KEGG PATHWAY	hsa04110	2	124	0.00598832671083	0.0489368581554	CDKN1A|CDC20	http://www.genome.jp/kegg-bin/show_pathway?hsa04110/hsa:1026%09red/hsa:991%09red
@@Disease	Reactome	R-HSA-1643685	2	1049	0.250501538385	0.263367176309	CDKN1A|NR4A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685
@@Cell Cycle	Reactome	R-HSA-1640170	3	629	0.0199707026523	0.0634425661644	HSPA2|CDKN1A|CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1640170
Phosphorylation of Emi1	Reactome	R-HSA-176417	1	6	0.00639835358066	0.0489368581554	CDC20	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176417
RNA Polymerase II Transcription	Reactome	R-HSA-73857	5	1316	0.00676771610948	0.0500831719262	NR2F6|NR4A3|CDKN1A|NR4A1|ZNF442	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857
RUNX3 regulates CDKN1A transcription	Reactome	R-HSA-8941855	1	7	0.00730914876492	0.0500831719262	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941855
Zinc efflux and compartmentalization by the SLC30 family	Reactome	R-HSA-435368	1	7	0.00730914876492	0.0500831719262	SLC30A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-435368
Estrogen signaling pathway	KEGG PATHWAY	hsa04915	2	138	0.00733977519608	0.0500831719262	HSPA2|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa04915/hsa:4318%09red/hsa:3306%09red
Sema4D mediated inhibition of cell attachment and migration	Reactome	R-HSA-416550	1	8	0.00821913223009	0.0519010292701	RND1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-416550
Axonal growth inhibition (RHOA activation)	Reactome	R-HSA-193634	1	9	0.00912830467897	0.0526512664302	OMG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193634
AKT phosphorylates targets in the nucleus	Reactome	R-HSA-198693	1	9	0.00912830467897	0.0526512664302	NR4A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198693
Cushing syndrome	KEGG PATHWAY	hsa04934	2	155	0.00914820772305	0.0526512664302	CDKN1A|NR4A1	http://www.genome.jp/kegg-bin/show_pathway?hsa04934/hsa:3164%09red/hsa:1026%09red
Gene expression (Transcription)	Reactome	R-HSA-74160	5	1448	0.00999602087207	0.0526512664302	NR2F6|NR4A3|CDKN1A|NR4A1|ZNF442	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
p75NTR regulates axonogenesis	Reactome	R-HSA-193697	1	10	0.0100366668137	0.0526512664302	OMG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193697
Hepatitis B	KEGG PATHWAY	hsa05161	2	163	0.0100612333839	0.0526512664302	CDKN1A|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa05161/hsa:1026%09red/hsa:4318%09red
Peptide ligand-binding receptors	Reactome	R-HSA-375276	2	188	0.0131622769238	0.0562649127759	CCL20|GALR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-375276
AKT phosphorylates targets in the cytosol	Reactome	R-HSA-198323	1	14	0.0136620262344	0.0562649127759	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198323
Attenuation phase	Reactome	R-HSA-3371568	1	14	0.0136620262344	0.0562649127759	HSPA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371568
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	Reactome	R-HSA-399955	1	14	0.0136620262344	0.0562649127759	RND1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-399955
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	Reactome	R-HSA-6804116	1	14	0.0136620262344	0.0562649127759	CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804116
Viral carcinogenesis	KEGG PATHWAY	hsa05203	2	201	0.0149189552769	0.0582001304984	CDKN1A|CDC20	http://www.genome.jp/kegg-bin/show_pathway?hsa05203/hsa:1026%09red/hsa:991%09red
Proteoglycans in cancer	KEGG PATHWAY	hsa05205	2	203	0.0151977448443	0.0582001304984	CDKN1A|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa05205/hsa:1026%09red/hsa:4318%09red
