##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Metabolism of RNA	Reactome	R-HSA-8953854	13	667	4.47727929101e-08	1.09181653568e-05	CCNH|DDX21|DDX20|NOP58|RIOK3|PPP2CA|PSMD4|LSM10|PSMD12|UTP15|RANBP2|BCAS2|RNMT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854
Immune System	Reactome	R-HSA-168256	21	2096	2.29025640981e-07	4.3438529906e-05	RCHY1|STAT6|RAC2|YPEL5|CD55|PPP2CA|PSMD4|UBE2B|HIF1A|KBTBD8|APEH|DCTN4|PSMD12|ICAM2|RANBP2|S100A11|PELI1|SDCBP|PTPN6|RAP2C|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
HIV Infection	Reactome	R-HSA-162906	8	227	2.81480505449e-07	4.80487222802e-05	PSMD4|PSMD12|GTF2B|BANF1|CCNT1|RNMT|CCNH|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162906
Metabolism of proteins	Reactome	R-HSA-392499	20	2012	5.26402149546e-07	8.16880426614e-05	PIGA|DNAJB9|NOP58|CD55|RAB1A|PSMD4|FEM1C|UBE2B|EIF3A|RNF139|HIF1A|KBTBD8|COPS6|USP15|APEH|CEBPZ|RANBP2|PSMD12|DCTN4|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392499
Innate Immune System	Reactome	R-HSA-168249	14	1043	1.11888528844e-06	0.000157027102301	YPEL5|STAT6|RAC2|CD55|PPP2CA|PSMD4|SDCBP|APEH|ICAM2|S100A11|PELI1|PSMD12|PTPN6|RAP2C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
Cell Cycle	Reactome	R-HSA-1640170	11	629	1.46114915546e-06	0.00017815582917	BANF1|PPP2CA|PSMD4|BACH1|HAUS3|PSMD12|RAB1A|CDK4|DBF4|CCNH|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1640170
@@Cell cycle	KEGG PATHWAY	hsa04110	3	124	0.00510359078916	0.0460943358577	CDK4|DBF4|CCNH	http://www.genome.jp/kegg-bin/show_pathway?hsa04110/hsa:902%09red/hsa:1019%09red/hsa:10926%09red
Post-translational protein modification	Reactome	R-HSA-597592	16	1412	1.60985610766e-06	0.000183201625051	PIGA|NOP58|CD55|RAB1A|PSMD4|UBE2B|COPS6|HIF1A|KBTBD8|PSMD12|USP15|RNF139|RANBP2|FEM1C|DCTN4|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592
G1/S Transition	Reactome	R-HSA-69206	6	130	2.06994110059e-06	0.000210304372528	PPP2CA|PSMD4|PSMD12|CDK4|DBF4|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69206
Cell Cycle, Mitotic	Reactome	R-HSA-69278	10	525	2.14498378935e-06	0.000210304372528	BANF1|PPP2CA|PSMD4|HAUS3|PSMD12|RAB1A|CDK4|DBF4|CCNH|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69278
Gene expression (Transcription)	Reactome	R-HSA-74160	16	1448	2.21762079994e-06	0.000210304372528	PSMD12|DDX21|JMY|PPP2CA|PSMD4|BACH1|LSM10|STRAP|GTF2B|ELF1|CDK4|CCNT1|CEBPZ|RANBP2|CCNH|RNMT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
Mitotic G1-G1/S phases	Reactome	R-HSA-453279	6	147	4.09382184752e-06	0.000342324616138	PPP2CA|PSMD4|PSMD12|CDK4|DBF4|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-453279
Neddylation	Reactome	R-HSA-8951664	7	232	4.34604417678e-06	0.000342324616138	PSMD4|COPS6|HIF1A|KBTBD8|PSMD12|FEM1C|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8951664
HIV Life Cycle	Reactome	R-HSA-162587	6	149	4.41191655245e-06	0.000342324616138	GTF2B|BANF1|CCNT1|RNMT|CCNH|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162587
Infectious disease	Reactome	R-HSA-5663205	8	372	9.96681927135e-06	0.000708890020675	PSMD4|PSMD12|GTF2B|BANF1|CCNT1|RNMT|CCNH|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663205
RNA Polymerase II Transcription	Reactome	R-HSA-73857	14	1316	1.54086610428e-05	0.000940408945078	JMY|PPP2CA|PSMD4|BACH1|LSM10|STRAP|GTF2B|ELF1|CDK4|CCNT1|CEBPZ|PSMD12|CCNH|RNMT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857
Host Interactions of HIV factors	Reactome	R-HSA-162909	5	123	2.74399046556e-05	0.00151096507249	CCNT1|PSMD4|BANF1|PSMD12|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162909
Adaptive Immune System	Reactome	R-HSA-1280218	10	748	4.34343531524e-05	0.0022553006249	RCHY1|PPP2CA|PSMD4|UBE2B|KBTBD8|ICAM2|PSMD12|PTPN6|DCTN4|CUL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280218
Late Phase of HIV Life Cycle	Reactome	R-HSA-162599	5	136	4.35998363337e-05	0.0022553006249	CCNT1|GTF2B|RANBP2|CCNH|RNMT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162599
Neutrophil degranulation	Reactome	R-HSA-6798695	8	478	5.72410096836e-05	0.00271417787583	YPEL5|RAP2C|CD55|SDCBP|APEH|S100A11|PSMD12|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6798695
Transcription of the HIV genome	Reactome	R-HSA-167172	4	73	6.00122965832e-05	0.00272249930108	CCNT1|GTF2B|CCNH|RNMT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167172
Cyclin E associated events during G1/S transition 	Reactome	R-HSA-69202	4	82	9.24201548294e-05	0.00394403010734	PSMD4|PSMD12|CDK4|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69202
