##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Immune System	Reactome	R-HSA-168256	26	2096	7.10236250679e-09	1.30855630676e-06	CD53|CDKN1A|TNFAIP3|REL|XRCC5|AREG|MAP3K8|DCTN6|DYNLT1|PIK3R1|DUSP5|DUSP4|RELA|FTH1|HSPA9|DUSP2|SIAH2|IRF2|CASP2|CASP1|SLC2A3|IRS2|KPNA2|PRKACB|BCL6|CD3D	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
RNA Polymerase II Transcription	Reactome	R-HSA-73857	20	1316	1.96016702606e-08	2.55048938097e-06	CASP6|SRSF7|DDIT3|CASP2|BTG2|CASP1|NR4A2|NR4A3|CDKN1A|ZNF331|SLC2A3|NR3C1|RPA2|PLK3|DDIT4|GADD45A|ELL2|MED26|BCL6|BRD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857
Autophagy - animal	KEGG PATHWAY	hsa04140	8	128	1.99192868082e-08	2.55048938097e-06	GABARAPL1|ATG16L1|TP53INP2|IRS2|PIK3R1|PRKACB|ATG2A|DDIT4	http://www.genome.jp/kegg-bin/show_pathway?hsa04140/hsa:23130%09red/hsa:8660%09red/hsa:5567%09red/hsa:5295%09red/hsa:58476%09red/hsa:54541%09red/hsa:23710%09red/hsa:55054%09red
Transcriptional Regulation by TP53	Reactome	R-HSA-3700989	11	359	5.0480832881e-08	5.68750717126e-06	CASP6|CASP2|BTG2|CASP1|GADD45A|PLK3|BRD1|RPA2|DDIT4|BCL6|CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3700989
MAPK signaling pathway	KEGG PATHWAY	hsa04010	10	295	8.47454498648e-08	8.59318861629e-06	AREG|MAP3K8|DDIT3|GADD45A|JUND|PRKACB|DUSP5|DUSP4|RELA|DUSP2	http://www.genome.jp/kegg-bin/show_pathway?hsa04010/hsa:1647%09red/hsa:1649%09red/hsa:3727%09red/hsa:1844%09red/hsa:1847%09red/hsa:1846%09red/hsa:5567%09red/hsa:374%09red/hsa:5970%09red/hsa:1326%09red
Gene expression (Transcription)	Reactome	R-HSA-74160	20	1448	9.08751246202e-08	8.77594060618e-06	CASP6|SRSF7|DDIT3|CASP2|BTG2|CASP1|NR4A2|NR4A3|CDKN1A|ZNF331|SLC2A3|NR3C1|RPA2|PLK3|DDIT4|GADD45A|ELL2|MED26|BCL6|BRD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
Generic Transcription Pathway	Reactome	R-HSA-212436	18	1193	1.19624271777e-07	1.10271828711e-05	CASP6|PLK3|DDIT3|CASP2|BTG2|CASP1|NR4A2|NR4A3|CDKN1A|ZNF331|SLC2A3|NR3C1|RPA2|GADD45A|DDIT4|MED26|BCL6|BRD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
Circadian Clock	Reactome	R-HSA-400253	6	69	2.01575030938e-07	1.70330901143e-05	NR3C1|SIK1|NAMPT|CSNK1D|MEF2D|PER1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-400253
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	8	186	3.09790652514e-07	2.51302177319e-05	DDIT3|NR4A3|CDKN1A|FLI1|REL|GADD45A|RELA|BCL6	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:1647%09red/hsa:1026%09red/hsa:8013%09red/hsa:1649%09red/hsa:5966%09red/hsa:5970%09red/hsa:2313%09red/hsa:604%09red
FoxO signaling pathway	KEGG PATHWAY	hsa04068	7	132	4.54797679942e-07	3.53662193728e-05	GABARAPL1|GADD45A|CDKN1A|IRS2|PIK3R1|BCL6|PLK3	http://www.genome.jp/kegg-bin/show_pathway?hsa04068/hsa:1647%09red/hsa:1026%09red/hsa:8660%09red/hsa:1263%09red/hsa:5295%09red/hsa:604%09red/hsa:23710%09red
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	14	836	1.02072106994e-06	7.39293689228e-05	AREG|MAP3K8|IRF2|CDKN1A|CASP1|IRS2|KPNA2|PIK3R1|DUSP5|DUSP4|RELA|BCL6|HSPA9|DUSP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Signaling by Interleukins	Reactome	R-HSA-449147	12	619	1.45094579644e-06	0.000101466140523	AREG|MAP3K8|CASP1|CDKN1A|IRS2|PIK3R1|DUSP5|DUSP4|RELA|BCL6|HSPA9|DUSP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
FOXO-mediated transcription	Reactome	R-HSA-9614085	5	65	3.84118914396e-06	0.000220495329949	GADD45A|CDKN1A|DDIT3|NR3C1|BCL6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9614085
Apoptosis	KEGG PATHWAY	hsa04210	6	136	8.53846685526e-06	0.000468000291418	CASP6|DDIT3|CASP2|GADD45A|PIK3R1|RELA	http://www.genome.jp/kegg-bin/show_pathway?hsa04210/hsa:1647%09red/hsa:835%09red/hsa:839%09red/hsa:1649%09red/hsa:5295%09red/hsa:5970%09red
@@Apoptosis	Reactome	R-HSA-109581	1	172	0.438864488304	0.450641611281	CASP6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109581
TP53 Regulates Transcription of Caspase Activators and Caspases	Reactome	R-HSA-6803207	3	12	1.59028316536e-05	0.000767879585561	CASP6|CASP2|CASP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803207
Small cell lung cancer	KEGG PATHWAY	hsa05222	5	93	2.00069583204e-05	0.000858697878315	GADD45A|RELA|TRAF4|CDKN1A|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa05222/hsa:9618%09red/hsa:1026%09red/hsa:1647%09red/hsa:5295%09red/hsa:5970%09red
TP53 Regulates Transcription of Cell Death Genes	Reactome	R-HSA-5633008	4	44	2.03242101376e-05	0.000858697878315	CASP6|BCL6|CASP2|CASP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5633008
TP53 Regulates Transcription of Cell Cycle Genes	Reactome	R-HSA-6791312	4	48	2.79880836189e-05	0.00105469142057	PLK3|GADD45A|CDKN1A|BTG2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6791312
C-type lectin receptor signaling pathway	KEGG PATHWAY	hsa04625	5	104	3.34274491662e-05	0.00121055119481	PLK3|RELA|BCL3|PIK3R1|CASP1	http://www.genome.jp/kegg-bin/show_pathway?hsa04625/hsa:834%09red/hsa:1263%09red/hsa:602%09red/hsa:5295%09red/hsa:5970%09red
Parathyroid hormone synthesis, secretion and action	KEGG PATHWAY	hsa04928	5	106	3.64769061982e-05	0.00129269753306	NR4A2|CDKN1A|MEF2D|JUND|PRKACB	http://www.genome.jp/kegg-bin/show_pathway?hsa04928/hsa:1026%09red/hsa:3727%09red/hsa:4929%09red/hsa:4209%09red/hsa:5567%09red
NOD-like receptor signaling pathway	KEGG PATHWAY	hsa04621	6	178	3.69706395058e-05	0.00129269753306	GABARAPL1|CASP1|ATG16L1|NAMPT|TNFAIP3|RELA	http://www.genome.jp/kegg-bin/show_pathway?hsa04621/hsa:834%09red/hsa:7128%09red/hsa:10135%09red/hsa:5970%09red/hsa:23710%09red/hsa:55054%09red
Metabolism of proteins	Reactome	R-HSA-392499	19	2012	4.4264782435e-05	0.0014961496463	TSPYL2|AREG|GSPT1|DDIT3|LYPD3|SIAH2|ST6GAL1|NR4A2|TBCE|PCMT1|NR3C1|TNFAIP3|USP42|ETF1|CSNK1D|JOSD1|RELA|TNKS2|DCTN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392499
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	Reactome	R-HSA-168643	4	55	4.62122014694e-05	0.00151079361002	RELA|CASP2|TNFAIP3|CASP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168643
TNF signaling pathway	KEGG PATHWAY	hsa04668	5	112	4.69329375894e-05	0.00151079361002	BCL3|RELA|MAP3K8|PIK3R1|TNFAIP3	http://www.genome.jp/kegg-bin/show_pathway?hsa04668/hsa:602%09red/hsa:7128%09red/hsa:5295%09red/hsa:1326%09red/hsa:5970%09red
MAPK family signaling cascades	Reactome	R-HSA-5683057	7	278	5.02239902728e-05	0.00159147269177	AREG|DNAJB1|IRS2|PRKACB|DUSP5|DUSP4|DUSP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5683057
Innate Immune System	Reactome	R-HSA-168249	13	1043	5.42022065426e-05	0.00166548598286	CD53|MAP3K8|CASP2|CASP1|DYNLT1|SLC2A3|TNFAIP3|PIK3R1|PRKACB|DUSP4|RELA|FTH1|XRCC5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
Intracellular signaling by second messengers	Reactome	R-HSA-9006925	7	288	6.23665320911e-05	0.00183303372581	AREG|CDKN1A|IRS2|KPNA2|PIK3R1|PRKACB|TNKS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006925
Cellular responses to external stimuli	Reactome	R-HSA-8953897	9	516	6.98075189157e-05	0.00200212536835	NR3C1|GABARAPL1|ATG16L1|DNAJB1|RPA2|HSPA9|RELA|DCTN6|CDKN1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953897
Epstein-Barr virus infection	KEGG PATHWAY	hsa05169	6	201	7.10813740242e-05	0.00200212536835	GADD45A|CDKN1A|TNFAIP3|PIK3R1|RELA|CD3D	http://www.genome.jp/kegg-bin/show_pathway?hsa05169/hsa:1647%09red/hsa:1026%09red/hsa:7128%09red/hsa:5295%09red/hsa:915%09red/hsa:5970%09red
RAF-independent MAPK1/3 activation	Reactome	R-HSA-112409	3	22	7.84537632795e-05	0.00212138975908	DUSP5|DUSP4|DUSP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112409
Pathways in cancer	KEGG PATHWAY	hsa05200	9	530	8.52411773572e-05	0.0022532286345	TRAF4|PTGER4|NFE2L2|CDKN1A|PRKACB|GADD45A|PIK3R1|CXCR4|RELA	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:1647%09red/hsa:4780%09red/hsa:1026%09red/hsa:9618%09red/hsa:5295%09red/hsa:5567%09red/hsa:5970%09red/hsa:7852%09red/hsa:5734%09red
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	hsa05166	6	219	0.000112320203782	0.00284731716587	CDKN1A|ZFP36|PIK3R1|PRKACB|RELA|CD3D	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:1026%09red/hsa:7538%09red/hsa:5295%09red/hsa:915%09red/hsa:5567%09red/hsa:5970%09red
Human cytomegalovirus infection	KEGG PATHWAY	hsa05163	6	225	0.000129645825186	0.00320636260337	PTGER4|CDKN1A|CXCR4|PIK3R1|PRKACB|RELA	http://www.genome.jp/kegg-bin/show_pathway?hsa05163/hsa:1026%09red/hsa:5295%09red/hsa:5567%09red/hsa:5970%09red/hsa:7852%09red/hsa:5734%09red
Pancreatic cancer	KEGG PATHWAY	hsa05212	4	75	0.00014491891738	0.00345759487584	GADD45A|RELA|CDKN1A|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa05212/hsa:1647%09red/hsa:1026%09red/hsa:5295%09red/hsa:5970%09red
Chronic myeloid leukemia	KEGG PATHWAY	hsa05220	4	76	0.000152155207312	0.00358803209801	GADD45A|RELA|CDKN1A|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa05220/hsa:1647%09red/hsa:1026%09red/hsa:5295%09red/hsa:5970%09red
RNA degradation	KEGG PATHWAY	hsa03018	4	79	0.000175431678493	0.0039530604887	HSPA9|BTG3|BTG2|DCP1A	http://www.genome.jp/kegg-bin/show_pathway?hsa03018/hsa:10950%09red/hsa:3313%09red/hsa:7832%09red/hsa:55802%09red
Autophagy - other	KEGG PATHWAY	hsa04136	3	32	0.000217888269664	0.00460288969666	ATG2A|ATG16L1|GABARAPL1	http://www.genome.jp/kegg-bin/show_pathway?hsa04136/hsa:23130%09red/hsa:23710%09red/hsa:55054%09red
FLT3 Signaling	Reactome	R-HSA-9607240	6	252	0.000235581960441	0.00479561499894	AREG|IRS2|PIK3R1|DUSP5|DUSP4|DUSP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9607240
Colorectal cancer	KEGG PATHWAY	hsa05210	4	86	0.000239595137469	0.00481088058204	AREG|CDKN1A|PIK3R1|GADD45A	http://www.genome.jp/kegg-bin/show_pathway?hsa05210/hsa:1647%09red/hsa:1026%09red/hsa:374%09red/hsa:5295%09red
