##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Cytokine-cytokine receptor interaction	KEGG PATHWAY	hsa04060	46	294	7.69154440466e-59	9.22216174119e-56	IL7R|CCL1|CSF2RA|IL1RL1|IL1RL2|TNFSF14|IL12A|IL6ST|TNFRSF17|CCR3|PF4|CXCL10|IL1B|TNFRSF18|IL10RA|IL17B|ACVR1B|CSF1R|CCL5|BMPR1A|PPBP|IL1R1|CCL21|CCL14|IL22RA1|IL2RB|IL4R|CTF1|CD40|IL6R|TNFRSF25|TNFRSF1B|CXCL13|MIF|BMP7|BMP5|TNFRSF1A|CXCL5|GH1|IL2RG|IL21R|IL16|LEP|BMPR2|EDAR|IL9	http://www.genome.jp/kegg-bin/show_pathway?hsa04060/hsa:1232%09red/hsa:3603%09red/hsa:3952%09red/hsa:3560%09red/hsa:3561%09red/hsa:3627%09red/hsa:3566%09red/hsa:3578%09red/hsa:50615%09red/hsa:608%09red/hsa:3554%09red/hsa:3592%09red/hsa:2688%09red/hsa:6366%09red/hsa:6346%09red/hsa:5473%09red/hsa:5196%09red/hsa:8784%09red/hsa:1489%09red/hsa:8740%09red/hsa:9173%09red/hsa:3553%09red/hsa:653%09red/hsa:655%09red/hsa:58985%09red/hsa:657%09red/hsa:3572%09red/hsa:3570%09red/hsa:3575%09red/hsa:268%09red/hsa:10563%09red/hsa:10913%09red/hsa:3587%09red/hsa:1436%09red/hsa:1438%09red/hsa:8808%09red/hsa:7133%09red/hsa:7132%09red/hsa:6374%09red/hsa:958%09red/hsa:91%09red/hsa:659%09red/hsa:6352%09red/hsa:8718%09red/hsa:6358%09red/hsa:27190%09red
Immune System	Reactome	R-HSA-168256	66	2096	1.70895308528e-43	1.02451737463e-40	IL7R|LTF|PDGFRA|CSF2RA|IL1RL1|IL1RL2|TNFSF14|CD36|IL6ST|TNFRSF17|PGLYRP1|SERPING1|ITGAV|CCK|CD200|IL1B|NCAM1|TNFRSF18|S100B|IL10RA|CAND1|ITGA2B|LCN2|CSF1R|CCL5|CEACAM1|FRK|PPBP|DEFA3|IL1R1|FADD|NRG1|IL22RA1|PDGFRB|EDAR|C5|S100A8|CTLA4|OBBP2|IL4R|CTF1|GFRA3|IL2RB|IL6R|C3|IL12A|TNFRSF25|CXCL10|FGF4|LYN|ITK|SELL|CRTAM|TNFRSF1A|TNFRSF1B|GH1|FN1|IL2RG|IL21R|IL16|SLPI|BTC|MMP9|MMP8|MMP3|IL9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	45	836	3.09727136702e-38	1.48545134762e-35	IL7R|PDGFRB|PDGFRA|CSF2RA|IL1RL1|IL1RL2|TNFSF14|CD36|IL6ST|TNFRSF17|CCK|IL1B|NCAM1|TNFRSF18|S100B|ITGA2B|LCN2|CSF1R|CCL5|IL10RA|IL1R1|NRG1|IL22RA1|EDAR|IL4R|CTF1|GFRA3|IL6R|IL12A|TNFRSF25|CXCL10|FGF4|LYN|IL2RB|TNFRSF1A|TNFRSF1B|GH1|FN1|IL2RG|IL21R|IL16|BTC|MMP9|MMP3|IL9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Signaling by Interleukins	Reactome	R-HSA-449147	39	619	1.90445526534e-35	7.61147287714e-33	IL7R|PDGFRB|PDGFRA|CSF2RA|IL1RL1|IL1RL2|LCN2|CD36|IL6ST|CCK|IL1B|NCAM1|IL1R1|S100B|ITGA2B|CCL5|CSF1R|IL10RA|NRG1|IL22RA1|IL4R|CTF1|GFRA3|IL6R|IL12A|CXCL10|FGF4|LYN|IL2RB|TNFRSF1A|TNFRSF1B|FN1|IL2RG|IL21R|IL16|BTC|MMP9|MMP3|IL9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Viral protein interaction with cytokine and cytokine receptor	KEGG PATHWAY	hsa04061	20	100	1.54200225123e-27	3.08143449871e-25	CXCL5|IL2RB|CCL1|TNFRSF1B|IL10RA|TNFSF14|CCL5|IL2RG|CSF1R|IL6ST|CCL14|PPBP|CCR3|PF4|CCL21|CXCL10|CXCL13|IL6R|IL22RA1|TNFRSF1A	http://www.genome.jp/kegg-bin/show_pathway?hsa04061/hsa:1232%09red/hsa:6366%09red/hsa:58985%09red/hsa:1436%09red/hsa:3560%09red/hsa:3572%09red/hsa:3570%09red/hsa:7133%09red/hsa:7132%09red/hsa:6374%09red/hsa:6346%09red/hsa:3627%09red/hsa:5473%09red/hsa:5196%09red/hsa:6352%09red/hsa:3561%09red/hsa:8740%09red/hsa:10563%09red/hsa:6358%09red/hsa:3587%09red
Signal Transduction	Reactome	R-HSA-162582	56	2689	3.12289758665e-27	5.76054493291e-25	PDGFRB|FGFRL1|CCL1|CSF2RA|IL1RL1|ACVR1B|PDGFRA|MIF|CCL21|BMPR1A|CCR3|PF4|CCK|BDNF|NCAM1|AXL|S100B|FGF4|PTH|ITGA2B|CCL5|MST1|NTRK2|THBS1|PPBP|S100A8|FADD|NRG1|LYN|C5|FIGF|GFRA3|FRK|PLAT|C3|SHB|LRP1|CXCL10|CXCL13|IL6R|IL2RB|F3|CXCL5|FN1|IL2RG|DKK4|SPARC|ITGAV|LEP|BMPR2|BTC|MMP9|PTHLH|HCRTR2|MMP3|TNFRSF1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Jak-STAT signaling pathway	KEGG PATHWAY	hsa04630	18	162	1.03036287885e-20	1.23540509174e-18	IL7R|PDGFA|PDGFRA|CSF2RA|IL10RA|IL4R|CTF1|IL2RG|IL21R|IL2RB|IL12A|IL6ST|LEP|IL9|IL22RA1|IL6R|PDGFRB|GH1	http://www.genome.jp/kegg-bin/show_pathway?hsa04630/hsa:5156%09red/hsa:5154%09red/hsa:3587%09red/hsa:58985%09red/hsa:3592%09red/hsa:3560%09red/hsa:3572%09red/hsa:3570%09red/hsa:3952%09red/hsa:3566%09red/hsa:1438%09red/hsa:3578%09red/hsa:3575%09red/hsa:50615%09red/hsa:3561%09red/hsa:1489%09red/hsa:5159%09red/hsa:2688%09red
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	21	354	9.72462255581e-19	1.05998385858e-16	FIGF|PDGFA|PDGFRA|PDGFC|IL4R|FN1|IL2RG|ITGA2B|IL7R|CSF1R|IL2RB|ITGAV|IL6R|PDGFRB|NTRK2|BDNF|FGF4|FGFR2|THBS1|ANGPT4|GH1	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:3674%09red/hsa:4915%09red/hsa:5154%09red/hsa:1436%09red/hsa:5156%09red/hsa:3560%09red/hsa:3561%09red/hsa:2688%09red/hsa:3570%09red/hsa:3685%09red/hsa:7057%09red/hsa:3566%09red/hsa:2335%09red/hsa:2277%09red/hsa:2249%09red/hsa:56034%09red/hsa:3575%09red/hsa:2263%09red/hsa:51378%09red/hsa:5159%09red/hsa:627%09red
Pathways in cancer	KEGG PATHWAY	hsa05200	21	530	2.1971601973e-15	1.81682419073e-13	FIGF|PDGFA|PDGFRA|FGF4|IL2RB|IL4R|FN1|IL2RG|ITGA2B|IL7R|FADD|CSF1R|MST1|IL12A|IL6ST|CSF2RA|ITGAV|MMP9|IL6R|FGFR2|PDGFRB	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:3674%09red/hsa:5156%09red/hsa:4318%09red/hsa:5154%09red/hsa:1436%09red/hsa:3592%09red/hsa:3560%09red/hsa:3572%09red/hsa:3570%09red/hsa:3685%09red/hsa:8772%09red/hsa:3566%09red/hsa:2335%09red/hsa:2277%09red/hsa:1438%09red/hsa:2249%09red/hsa:3575%09red/hsa:2263%09red/hsa:3561%09red/hsa:5159%09red/hsa:6789%09red
Signaling by Receptor Tyrosine Kinases	Reactome	R-HSA-9006934	19	458	2.35509873369e-14	1.56875743428e-12	FIGF|PDGFRB|FGFRL1|LYN|FN1|THBS1|PDGFRA|ITGAV|PLAT|SPARC|NTRK2|BTC|MMP9|NRG1|BDNF|FGF4|SHB|AXL|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006934
